Number,Title,Topic_area,Eligble,Editorial_or_letter,Systematic_narrative_scoping_review,Meta_analysis,Software_used,Data_shared,Code_shared,Data_available_upon_request
2331,Early Mechanical Failure of a Tumoral Endoprosthesic Rotating Hinge in the Knee: Does Bumper Wear Contribute to Hyperextension Failure?:,Medicine,1,,,,NA,1,NA,NA
2336,Early outcomes of locked noncemented stems for the management of proximal humeral fractures: a comparative study:,Medicine,1,,,,Other,0,0,0
2386,Effect of asthma and six-months high-intensity interval training on heart rate variability during exercise in adolescents:,Sport/Exercise,1,,,,SPSS,0,0,0
2408,Effect of different doses of supervised aerobic exercise on heart rate recovery in inactive adults who are overweight or obese: results from E-MECHANIC:,Sport/Exercise,1,,,,SPSS,0,0,0
2442,Effect of ischemic preconditioning and changing inspired O2 fractions on neuromuscular function during intense exercise:,Sport/Exercise,1,,,,SPSS,0,0,0
2452,Effect of Modified Japanese Orthopedic Association Severity Classifications on Satisfaction with Outcomes 12 Months after Elective Surgery for Cervical Spine Myelopathy:,Medicine,1,,,,R,0,0,0
2457,Effect of Penalty Minute Rule Change on Injuries and Game Disqualification Penalties in High School Ice Hockey:,Sport/Exercise,1,,,,Stata,0,0,0
2476,Effect of Stacked Sodium Bicarbonate Loading on Repeated All-out Exercise:,Sport/Exercise,1,,,,R,0,0,0
2483,Effect of training load distribution on aerobic fitness measures in hurling players:,Sport/Exercise,1,,,,Not_stated,0,0,0
2505,Effectiveness of Exercise Interventions for Pain Reduction in People With Multiple Sclerosis: A Systematic Review and Meta-analysis of Randomized Controlled Trials:,Rehab,1,,,1,Stata,0,0,0
2544,"Effects of antisocial behaviour on opponent's anger, attention, and performance:",Sport/Exercise,1,,,,Not_stated,0,0,0
2554,Effects of caffeine and sex on muscle performance and delayed-onset muscle soreness after exercise-induced muscle damage: A double-blind randomized trial:,Sport/Exercise,1,,,,SPSS,0,0,0
2567,Effects of combined resistance training and weightlifting on motor skill performance of adolescent male athletes:,Sport/Exercise,1,,,,SPSS,0,0,0
2632,Effects of mental fatigue on exercise decision-making:,Sport/Exercise,1,,,,SPSS,0,0,0
2637,"Effects of Napping on Alertness, Cognitive, and Physical Outcomes of Karate Athletes:",Sport/Exercise,1,,,,Other,0,0,0
2651,"Effects of Playing Surface on Physical, Physiological, and Perceptual Responses to a Repeated-Sprint Ability Test: Natural Grass Versus Artificial Turf:",Sport/Exercise,1,,,,Other,0,0,0
2652,Effects of plyometric and directional training on physical fitness parameters in youth soccer players:,Sport/Exercise,1,,,,SPSS,0,0,0
2664,Effects of Relative Drop Heights of Drop Jump Biomechanics in Male Volleyball Players:,Sport/Exercise,1,,,,SPSS,0,0,0
2722,Efficacy of suprascapular nerve block compared with subacromial injection: a randomized controlled trial in patients with rotator cuff tears:,Medicine,1,,,,SPSS,0,0,0
2753,Elite athletes as research model: vitamin D insufficiency associates with elevated central blood pressure in professional handball athletes:,Sport/Exercise,1,,,,Stata,0,0,0
2757,Elite sport policies and international sporting success: a panel data analysis of European women’s national football team performance:,Sport/Exercise,1,,,,Not_stated,0,0,0
2764,Emergency action planning in secondary school athletics: A comprehensive evaluation of current adoption of best practice standards:,Sport/Exercise,1,,,,SPSS,0,0,0
2776,Employment Stability in the First 5 Years After Moderate-to-Severe Traumatic Brain Injury:,Rehab,1,,,,Stata,0,0,0
2823,"Epidemiology of secondary school boys' and girls' basketball injuries: National athletic treatment, injury and outcomes network:",Sport/Exercise,1,,,,SPSS,0,0,0
2824,Epidemiology of Shoulder Surgery Among Professional Baseball Players:,Medicine,1,,,,Not_stated,0,0,0
2873,Evaluating the impact of a coach development intervention for improving coaching practices in junior football (soccer): The “MASTER” pilot study:,Sport/Exercise,1,,,,SPSS,0,0,0
2876,Evaluation of a 3D-printed total knee arthroplasty using radiostereometric analysis: Assessment of highly porous biological fixation of the tibial baseplate and metal-backed patellar component:,Medicine,1,,,,SAS,0,0,0
2879,Evaluation of an In-Ear Sensor for Quantifying Head Impacts in Youth Soccer:,Sport/Exercise,1,,,,SPSS,0,0,0
2949,Exercise prevents the adverse effects of maternal obesity on placental vascularization and fetal growth:,Sport/Exercise,1,,,,SAS,0,0,0
2952,Exercise Therapy in Addition to an Orthosis Reduces Pain More Than an Orthosis Alone in Patients With Thumb Base Osteoarthritis: A Propensity Score Matching Study:,Sport/Exercise,1,,,,Not_stated,0,0,0
2974,Exercise-Mobilized Platelet-Rich Plasma: Short-Term Exercise Increases Stem Cell and Platelet Concentrations in Platelet-Rich Plasma:,Medicine,1,,,,Other,0,0,0
3013,Facilitators to support the implementation of injury prevention training in youth handball: A concept mapping approach:,Sport/Exercise,1,,,,Other,1,0,NA
3037,Factors predictive of Cutibacterium periprosthetic shoulder infections: a retrospective study of 342 prosthetic revisions:,Medicine,1,,,,R,0,0,0
3050,Fan response to the identity threat of potential team relocation:,Sport/Exercise,1,,,,Other,0,0,0
3085,Female rugby union injuries in New Zealand: A review of five years (2013–2017) of Accident Compensation Corporation moderate to severe claims and costs:,Sport/Exercise,1,,,,SPSS,0,0,0
3088,Femoral Bone Remodeling in Revision Total Hip Arthroplasty with Use of Modular Compared with Monoblock Tapered Fluted Titanium Stems: The Role of Stem Length and Stiffness:,Medicine,1,,,,SPSS,0,0,0
3096,Femoral tunnel widening is similar between anteromedial portal and transtibial techniques following single-bundle anterior cruciate ligament reconstruction: a systematic review and meta-analysis:,Medicine,1,,,1,R,0,0,0
3101,Fiber Type Composition and Rate of Force Development in Endurance- and Resistance-Trained Individuals:,Sport/Exercise,1,,,,SPSS,0,0,0
3103,Fibre-type-specific and Mitochondrial Biomarkers of Muscle Damage after Mountain Races:,Sport/Exercise,1,,,,SPSS,0,0,0
3114,Financial incentives for physical activity in adults: Systematic review and meta-analysis:,Sport/Exercise,1,,,1,Other,1,0,NA
3126,"Fitness, knee function and competition performance in professional alpine skiers after ACL injury:",Medicine,1,,,,SPSS,0,0,0
3135,Flexible reamers create comparable anterior cruciate ligament reconstruction femoral tunnels without the hyperflexion required with rigid reamers: 3D-CT analysis of tunnel morphology in a randomised clinical trial:,Medicine,1,,,,SPSS,0,0,0
3218,Functional Resistance Training and Affective Response in Female College-Age Students:,Sport/Exercise,1,,,,SPSS,0,0,0
3221,Fungal prosthetic joint infection in total hip or knee arthroplasty:,Medicine,1,,,,Not_stated,0,0,0
3226,Gait after Birmingham hip resurfacing: An age-matched controlled prospective study:,Medicine,1,,,,Other,0,0,0
3231,Gait Mechanics and T1? MRI of Tibiofemoral Cartilage 6 Months after ACL Reconstruction:,Medicine,1,,,,SPSS,0,0,0
3246,Generalized joint hypermobility does not influence clinical outcomes following isolated MPFL reconstruction for patellofemoral instability:,Medicine,1,,,,SAS,0,0,0
3284,Goal-directed self-talk used to self-regulate in male basketball competitions:,Sport/Exercise,1,,,,Not_stated,0,0,0
3314,Halo Gravity Traction Can Mitigate Preoperative Risk Factors and Early Surgical Complications in Complex Spine Deformity:,Medicine,1,,,,Not_stated,0,0,0
3336,Health Care Costs and Opioid Use Associated With High-impact Chronic Spinal Pain in the United States:,Rehab,1,,,,Stata,0,0,0
3343,Health-related Outcomes after a Youth Sport-related Knee Injury:,Medicine,1,,,,Stata,0,0,0
3351,Heart-rate variability in elite synchronized swimmers:,Sport/Exercise,1,,,,Other,0,0,0
3373,High knee loading in male adolescent pre-professional football players: Effects of a targeted training programme:,Sport/Exercise,1,,,,SPSS,0,0,0
3488,How does exercise treatment compare with antihypertensive medications? A network meta-analysis of 391 randomised controlled trials assessing exercise and medication effects on systolic blood pressure:,Medicine,1,,,1,Other,0,0,1
3519,Hybrid growing rod technique of osteotomy with short fusion and spinal distraction: An alternative solution for long-spanned congenital scoliosis:,Medicine,1,,,,SPSS,1,0,NA
3528,Hypotensive Effect of Heated Water-based Exercise in Older Individuals with Hypertension:,Sport/Exercise,1,,,,SPSS,0,0,0
3535,Iatrogenic Medial Collateral Ligament Injury by Valgus Stress During Arthroscopic Surgery of the Knee:,Medicine,1,,,,Not_stated,0,0,0
3606,Impact of sports participation on mortality rates among Brazilian adults:,Sport/Exercise,1,,,,Other,0,0,0
3622,Impairment-based rehabilitation with patterned electrical neuromuscular stimulation and lower extremity function in individuals with patellofemoral pain: A preliminary study:,Sport/Exercise,1,,,,SPSS,0,0,0
3652,Improvement in Back and Leg Pain and Disability Following Adult Spinal Deformity Surgery: Study of 324 Patients With 2-year Follow-up and the Impact of Surgery on Patient-reported Outcomes:,Medicine,1,,,,Not_stated,0,0,0
3690,In vivo blood metal ion levels in patients after total shoulder arthroplasty:,Medicine,1,,,,SPSS,0,0,0
3700,Inadequate Postoperative Energy Intake Relative to Total Energy Requirements Diminishes Acute Phase Functional Recovery From Hip Fracture:,Medicine,1,,,,R,0,0,0
3738,Increased Proportion of Fusion Surgery for Degenerative Lumbar Spondylolisthesis and Changes in Reoperation Rate: A Nationwide Cohort Study with a Minimum 5-Year Follow-up:,Medicine,1,,,,SAS,0,0,0
3751,Increasing Numbers of Shoulder Corticosteroid Injections Within a Year Preoperatively May Be Associated With a Higher Rate of Subsequent Revision Rotator Cuff Surgery:,Medicine,1,,,,Not_stated,0,0,0
3765,Individual and Combined Effect of Inter-repetition Rest and Elastic Bands on Jumping Potentiation in Resistance-Trained Men:,Sport/Exercise,1,,,,SPSS,0,0,0
3775,Individuals with and without low back pain use different motor control strategies to achieve spinal stiffness during the prone instability test:,Rehab,1,,,,SPSS,0,0,0
3806,Influence of Peer-led Wheelchair Training on Wheelchair Skills and Participation in Older Adults: Clinical Outcomes of a Randomized Controlled Feasibility Trial:,Sport/Exercise,1,,,,SPSS,0,0,0
3812,Influence of Risky Pathoanatomy and Demographic Factors on Clinical Outcomes After Isolated Medial Patellofemoral Ligament Reconstruction: A Regression Analysis:,Medicine,1,,,,SAS,0,0,0
3817,"Influence of the ""slingshot"" bench press training aid on bench press kinematics and neuromuscular activity in competitive powerlifters:",Sport/Exercise,1,,,,Other,0,0,0
3827,Initial Provider Specialty Is Associated with Long-term Opiate Use in Patients with Newly Diagnosed Low Back and Lower Extremity Pain:,Rehab,1,,,,Stata,0,0,0
3856,Inspiratory muscle training effects on oxygen saturation and performance in hypoxemic rowers: Effect of sex:,Sport/Exercise,1,,,,SPSS,0,0,0
3940,Intrawound vancomycin powder increases post-operative wound complications and does not decrease periprosthetic joint infection in primary total and unicompartmental knee arthroplasties:,Medicine,1,,,,SPSS,0,0,0
3957,Ionotropic and metabotropic kainate receptor signalling regulates Cl ? homeostasis and GABAergic inhibition:,Sport/Exercise,1,,,,Not_stated,0,0,0
3991,Is Lateral Posterior Tibial Slope Correlated With Clinical Outcomes of Lateral Meniscus Allograft Transplantation?:,Medicine,1,,,,SPSS,0,0,0
3993,Is Microfracture Necessary? Acetabular Chondrolabral Debridement/Abrasion Demonstrates Similar Outcomes and Survival to Microfracture in Hip Arthroscopy: A Multicenter Analysis:,Medicine,1,,,,R,0,0,0
4049,Isometric resistance training increases strength and alters histopathology of dystrophin-deficient mouse skeletal muscle:,Sport/Exercise,1,,,,Not_stated,0,0,0
4095,Kinematic alignment in total knee arthroplasty leads to a better restoration of patellar kinematics compared to mechanic alignment:,Medicine,1,,,,SPSS,0,0,0
4151,Left atrial volume in elite athletes: A meta-analysis of echocardiographic studies:,Sport/Exercise,1,,,1,Other,1,0,NA
4154,Leg- vs arm-cycling repeated sprints with blood flow restriction and systemic hypoxia:,Sport/Exercise,1,,,,R,0,0,0
4169,"Letting the cat out of the bag: Athletes, coaches and physiotherapists share their perspectives on injury prevention in elite sports:",Sport/Exercise,1,,,,Not_stated,0,0,0
4201,Load imbalances existed as determined by a sensor after conventional gap balancing with a tensiometer in total knee arthroplasty:,Medicine,1,,,,Not_stated,0,0,0
4237,Longitudinal trajectories of emotions among young athletes involving in intense training centres: Do emotional intelligence and emotional regulation matter?:,Sport/Exercise,1,,,,Other,0,0,0
4268,Long-Term Results of a 2-Stage Exchange Protocol for Periprosthetic Joint Infection Following Total Hip Arthroplasty in 164 Hips:,Medicine,1,,,,SAS,0,0,0
4277,Long-term results of tripolar constrained total hip arthroplasty in revision hip arthroplasty:,Medicine,1,,,,Not_stated,0,0,0
4301,Low predictive power of comorbidity indices identified for mortality after acute arthroplasty surgery undertaken for femoral neck fracture:,Medicine,1,,,,R,0,0,0
4388,Market reactions to sport sponsorship announcements: Comparison between sponsors and their rivals:,Sport/Exercise,1,,,,Not_stated,0,0,0
4395,Match-related time course of perceived recovery in youth football players:,Sport/Exercise,1,,,,SPSS,0,0,0
4414,Maximum Walking Speed at Discharge Could Be a Prognostic Factor for Vascular Events in Patients With Mild Stroke: A Cohort Study:,Rehab,1,,,,SPSS,0,0,0
4465,Medial Unicompartmental Knee Arthroplasty for the Treatment of Focal Femoral Osteonecrosis:,Medicine,1,,,,Other,0,0,0
4470,Mediating Effect of Muscle on the Relationship of Physical Activity and Bone:,Sport/Exercise,1,,,,SPSS,0,0,0
4516,Metabolic Implications of Diet and Energy Intake during Physical Inactivity:,Sport/Exercise,1,,,,SPSS,0,0,0
4518,Metabolic profiling of elite athletes with different cardiovascular demand:,Sport/Exercise,1,,,,R,0,0,1
4546,Midshaft Clavicle Fractures: Surgery Provides Better Results as Compared With Nonoperative Treatment: A Meta-analysis:,Medicine,1,,,1,Other,1,0,NA
4611,Modic Changes Are Not Associated with Long-term Pain and Disability: A Cohort Study with 13-year Follow-up:,Rehab,1,,,,Not_stated,0,0,0
4634,Monitoring workload in elite female basketball players during the in-season phase: Weekly fluctuations and effect of playing time:,Sport/Exercise,1,,,,R,0,0,0
4657,"Motivation for sports participation, injury prevention expectations, injury risk perceptions and health problems in youth floorball players:",Sport/Exercise,1,,,,SPSS,0,0,0
4708,Muscle Activity Pattern Dysfunction During Sit to Stand and Stand to Sit in the Movement System Impairment Subgroups of Low Back Pain:,Sport/Exercise,1,,,,SPSS,0,0,0
4752,Natural Language Processing for the Identification of Surgical Site Infections in Orthopaedics:,Medicine,1,,,,Not_stated,0,0,0
4803,Ninety-day complications following the Latarjet procedure:,Medicine,1,,,,SPSS,0,0,0
4820,No Difference in Outcomes Detected Between Decellular Nerve Allograft and Cable Autograft in Rat Sciatic Nerve Defects:,Medicine,1,,,,Not_stated,0,0,0
4834,No ergogenic effects of a 10-day combined heat and hypoxic acclimation on aerobic performance in normoxic thermoneutral or hot conditions:,Sport/Exercise,1,,,,Other,0,0,0
4901,Nutritional supplementation boosts aerobic exercise effects on functional brain systems:,Sport/Exercise,1,,,,R,1,0,NA
4905,Obesity should not be considered a contraindication to medial Oxford UKA: long-term patient-reported outcomes and implant survival in 1000 knees:,Medicine,1,,,,R,0,0,0
4916,Oestrogen replacement improves bone mineral density in oligo-amenorrhoeic athletes: A randomised clinical trial:,Sport/Exercise,1,,,,SAS,0,0,0
4919,Old and exciting? Sport sponsorship effects on brand age and brand personality:,Sport/Exercise,1,,,,Not_stated,0,0,0
4938,"One week of magnesium supplementation lowers IL-6, muscle soreness and increases post-exercise blood glucose in response to downhill running:",Sport/Exercise,1,,,,Other,0,0,0
4977,Opioid-Limiting Regulation: Effect on Patients Undergoing Knee and Shoulder Arthroscopy:,Medicine,1,,,,Stata,0,0,0
4999,Organised and non-organised after-school physical activity among children in Spain: the role of school-related variables:,Sport/Exercise,1,,,,Not_stated,0,0,0
5001,"Origins, Courses, and Distributions of the Lumbar Arterial Branches in Relation to the Spinal Nerves: An Anatomical Study:",Sport/Exercise,1,,,,SPSS,0,0,0
5055,Outcomes of repeat two-stage exchange hip arthroplasty for prosthetic joint infection:,Medicine,1,,,,SPSS,0,0,0
5163,Patients With Borderline Hip Dysplasia Achieve Clinically Significant Outcome After Arthroscopic Femoroacetabular Impingement Surgery: A Case-Control Study With Minimum 2-Year Follow-up:,Medicine,1,,,,Not_stated,0,0,0
5173,Patient-specific high-tibial osteotomy’s ‘cutting-guides’ decrease operating time and the number of fluoroscopic images taken after a Brief Learning Curve:,Medicine,1,,,,SPSS,0,0,0
5177,Patterns in Outcomes Reporting of Operatively Managed Pediatric Patellofemoral Instability: A Systematic Review and Meta-analysis:,Medicine,1,,,1,Not_stated,0,0,0
