article_id,primary_coder,secondary_coder,DOI,journal_name,title,wos_id
47306,NA,NA,https://doi.org/10.1037/apl0000557,JOURNAL OF APPLIED PSYCHOLOGY,"A Meta-Analysis of Leadership and Workplace Safety: Examining Relative Importance, Contextual Contingencies, and Methodological Moderators",WOS:000769674900001
41470,NA,NA,https://doi.org/10.1037/tra0001244,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Impacts of the COVID-19 Pandemic on Rural Survivors of Intimate Partner Violence,WOS:000787978000001
10727,NA,NA,https://doi.org/10.1016/j.learninstruc.2022.101667,LEARNING AND INSTRUCTION,Impact of programming on primary mathematics learning,WOS:000874919700009
13251,NA,NA,https://doi.org/10.1002/job.2666,JOURNAL OF ORGANIZATIONAL BEHAVIOR,The interplay of career involvement and goal conflicts: An eight-wave study with STEM professionals,WOS:000873825900001
45793,NA,NA,https://doi.org/10.1037/amp0001002,AMERICAN PSYCHOLOGIST,Sharing Is Caring: Ethical Implications of Transparent Research in Psychology,WOS:000778863900001
9484,NA,NA,https://doi.org/10.1089/aut.2021.0082,AUTISM IN ADULTHOOD,Intersectional Stigma for Autistic People at Work: A Compound Adverse Impact Effect on Labor Force Participation and Experiences of Belonging,WOS:000885659300001
58336,NA,NA,https://doi.org/10.1037/pspp0000341,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Clarifying the Structure and Nature of Left-Wing Authoritarianism,WOS:000733079100001
57255,NA,NA,https://doi.org/10.1037/tra0001161,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,"The Role of Resilience and Gender: Understanding the Relationship Between Risk for Traumatic Stress, Resilience, and Academic Outcomes Among Minoritized Youth",WOS:000739053600001
19272,NA,NA,https://doi.org/10.1111/apps.12429,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,Can curiosity spark the fire of innovation? An investigation in China,WOS:000853716300001
67688,NA,NA,https://doi.org/10.1007/s10648-021-09629-2,EDUCATIONAL PSYCHOLOGY REVIEW,The State of Current Reading Intervention Research for English Learners in Grades K-2: a Best-Evidence Synthesis,WOS:000671639100001
59239,NA,NA,https://doi.org/10.1037/apl0000877,JOURNAL OF APPLIED PSYCHOLOGY,"Silence is Golden: Extended Silence, Deliberative Mindset, and Value Creation in Negotiation",WOS:000733080600001
38116,NA,NA,https://doi.org/10.1111/apps.12394,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,"Bad, mad, or glad? Exploring the relationship between leaders' appraisals or attributions of their use of abusive supervision and emotional reactions",WOS:000796374200001
14544,NA,NA,https://doi.org/10.1037/tra0000524,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Exploring the Buffering Role of Social Capital in the Development of Posttraumatic Stress Symptoms Among Iranian Earthquake Survivors,WOS:000847855900022
61246,NA,NA,https://doi.org/10.1002/mar.21614,PSYCHOLOGY & MARKETING,To protect and support: Why would consumers find foods tastier if these foods help support a desired self-identity,WOS:000721767200001
7578,NA,NA,https://doi.org/10.1016/j.chb.2022.107399,COMPUTERS IN HUMAN BEHAVIOR,Can smartphone presence affect cognitive function? The moderating role of fear of missing out,WOS:000888461700005
727,NA,NA,https://doi.org/10.1016/j.cedpsych.2022.102140,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,Effect of parents? mathematics anxiety and home numeracy activities on young children?s math performance-anxiety relationship,WOS:000897620900002
5628,NA,NA,https://doi.org/10.1007/s11469-022-00985-w,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Impact of Alternative Ways to Operationalize Buprenorphine Treatment Duration on Understanding Continuity of Care for Opioid Use Disorder,WOS:000899876800001
1710,NA,NA,https://doi.org/10.1016/j.chb.2022.107637,COMPUTERS IN HUMAN BEHAVIOR,Do lonely people seek robot companionship? A comparative examination of the Loneliness-Robot anthropomorphism link in the United States and China,WOS:000921119000001
71180,NA,NA,https://doi.org/10.1007/s11469-021-00520-3,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Self-control or Flourishing? A Thematic Analysis of Experiences of Alcohol Users of the Rediscovery Process,WOS:000626391300003
29165,NA,NA,https://doi.org/10.1037/tra0001315,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Childhood Maltreatment and Somatic Symptoms: Examining the Role of Specific Types of Childhood Maltreatment and Alexithymia,WOS:000822076200001
18668,NA,NA,https://doi.org/10.1007/s11469-022-00915-w,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Post-treatment Outcomes and Changes in Health Literacy of People Discharged from Specialist Substance Use Disorder Treatment Services,WOS:000855795700001
23081,NA,NA,https://doi.org/10.1016/j.janxdis.2022.102600,JOURNAL OF ANXIETY DISORDERS,The scarring impact of status loss in social anxiety: An evolutionary perspective,WOS:000838376800005
56710,NA,NA,https://doi.org/10.1016/j.chb.2021.107086,COMPUTERS IN HUMAN BEHAVIOR,"A network analysis approach to the relationship between fear of missing out (FoMO), smartphone addiction, and social networking site use among a sample of Chinese university students",WOS:000740278900012
72947,NA,NA,https://doi.org/10.1007/s00787-020-01687-1,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Adverse childhood experiences and traumatic brain injury among adolescents: findings from the 2016-2018 National Survey of Children's Health,WOS:000604065300001
49676,NA,NA,https://doi.org/10.1111/jcpp.13594,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,Does rapid rebound height growth come at a neurocognitive cost for previously institutionalized youth?,WOS:000765148000001
37476,NA,NA,https://doi.org/10.1177/17456916211055369,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,Toward a New Science of Psychedelic Social Psychology: The Effects of MDMA (Ecstasy) on Social Connection,WOS:000797856300001
299,NA,NA,https://doi.org/10.1016/j.jvb.2022.103783,JOURNAL OF VOCATIONAL BEHAVIOR,A self-regulatory model of how future work selves change during job search and the school-to-work transition,WOS:000996036000005
72182,NA,NA,https://doi.org/10.1007/s00787-021-01744-3,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"Mostly worse, occasionally better: impact of COVID-19 pandemic on the mental health of Canadian children and adolescents",WOS:000622258700002
52096,NA,NA,https://doi.org/10.1037/amp0000897,AMERICAN PSYCHOLOGIST,Moving Human Rights to the Forefront of Psychology: Summary of the Final Report of the APA Task Force on Human Rights,WOS:000753121800001
45815,NA,NA,https://doi.org/10.1007/s00787-022-01979-8,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,The lived experience of gender dysphoria in autistic young people: a phenomenological study with young people and their parents,WOS:000778089600001
71994,NA,NA,https://doi.org/10.1007/s11469-021-00496-0,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Indigenous Grassroots and Family-Run Land-Based Healing in Northern Ontario,WOS:000618571500001
14084,NA,NA,https://doi.org/10.1007/s00787-022-02096-2,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Reciprocal associations between affective decision-making and mental health in adolescence,WOS:000869363500001
1412,NA,NA,https://doi.org/10.1016/j.chb.2022.107561,COMPUTERS IN HUMAN BEHAVIOR,A triangulation study of young Women's motivations for sending nudes to men,WOS:000911284400004
12908,NA,NA,https://doi.org/10.1016/j.cedpsych.2022.102113,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,"Examining the relationship between student attributional style, perceived teacher fairness, and sense of school belonging",WOS:000874541200001
58933,NA,NA,https://doi.org/10.1037/pspa0000298,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Mindfulness Meditation Reduces Guilt and Prosocial Reparation,WOS:000733354800001
32060,NA,NA,https://doi.org/10.1016/j.jenvp.2022.101826,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Satisfaction with activity-support and physical home-workspace characteristics in relation to mental health during the COVID-19 pandemic,WOS:000811498500002
1920,NA,NA,https://doi.org/10.1016/j.jadohealth.2022.08.026,JOURNAL OF ADOLESCENT HEALTH,Ambivalence and Stigma Beliefs About Medication Treatment Among Young Adults With Opioid Use Disorder: A Qualitative Exploration of Young Adults? Perspectives,WOS:000912259100018
74519,NA,NA,https://doi.org/10.1007/s11469-020-00376-z,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Virtual 'Experiential Expert' Communities of Practice in Sharing Evidence-Based Prevention of Novel Psychoactive Substance (NPS) Use: the Portuguese Experience,WOS:000550626700001
1705,NA,NA,https://doi.org/10.1016/j.jaac.2022.04.012,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Development of Proactive Control and Anxiety Among Behaviorally Inhibited Adolescents,WOS:000906927800012
66983,NA,NA,https://doi.org/10.1177/1745691621990379,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,Measuring the Frequency of Inner-Experience Characteristics,WOS:000675687700001
32070,NA,NA,https://doi.org/10.1016/j.jenvp.2022.101827,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Investigating the relationship between spatial and social cognitive maps in humans,WOS:000811498500003
33722,NA,NA,https://doi.org/10.1155/2022/6813033,HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES,Online Engagement during COVID-19: Comparing a Course Previously Delivered Traditionally with Emergency Online Delivery,WOS:000807593400001
1509,NA,NA,https://doi.org/10.1017/S1041610220003403,INTERNATIONAL PSYCHOGERIATRICS,Frailty in geriatric psychiatry inpatients: a retrospective cohort study,WOS:000914922200008
68583,NA,NA,https://doi.org/10.1007/s11469-021-00560-9,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Negotiating Multiple Stigmas: Substance Use in the Lives of Women Experiencing Homelessness,WOS:000659815900002
31890,NA,NA,https://doi.org/10.1016/j.cedpsych.2022.102059,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,"Can I teach this student?: A multilevel analysis of the links between teachers' perceived effectiveness, interest-supportive teaching, and student interest in math and reading",WOS:000782775700002
61980,NA,NA,https://doi.org/10.1016/j.learninstruc.2021.101519,LEARNING AND INSTRUCTION,Should teachers be accurate or (overly) positive? A competitive test of teacher judgment effects on students' reading progress*,WOS:000725569800007
18213,NA,NA,https://doi.org/10.1017/S0033291720004201,PSYCHOLOGICAL MEDICINE,Context-specific abnormalities of the central executive network in first-episode psychosis: relationship with cognition,WOS:000857186700013
39443,NA,NA,https://doi.org/10.1177/17456916211049362,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,A Community-Embedded Implementation Model for Mental-Health Interventions: Reaching the Hardest to Reach,WOS:000789393000001
25799,NA,NA,https://doi.org/10.1017/S0033291722001003,PSYCHOLOGICAL MEDICINE,"Improving the prospective prediction of a near-term suicide attempt in veterans at risk for suicide, using a go/no-go task",WOS:000832480600001
6273,NA,NA,https://doi.org/10.1177/17456916221134490,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,A Call to Action on Assessing and Mitigating Bias in Artificial Intelligence Applications for Mental Health,WOS:000896895900001
55978,NA,NA,https://doi.org/10.1111/apps.12370,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,How materialism shapes the effectiveness of financial literacy messages: A cross-cultural perspective,WOS:000743651400001
69490,NA,NA,https://doi.org/10.1177/01492063211016029,JOURNAL OF MANAGEMENT,CEOs' Regulatory Focus and Risk-Taking When Firms Perform Below and Above the Bar,WOS:000654566600001
60643,NA,NA,https://doi.org/10.1016/j.jenvp.2021.101725,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Testing the Biophilia theory: Automatic approach tendencies towards nature,WOS:000727738400006
13510,NA,NA,https://doi.org/10.1038/s41562-022-01450-3,NATURE HUMAN BEHAVIOUR,Life expectancy changes since COVID-19,WOS:000869332900002
20936,NA,NA,https://doi.org/10.1177/09567976221097497,PSYCHOLOGICAL SCIENCE,Mugs and Plants: Object Semantic Knowledge Alters Perceptual Processing With Behavioral Ramifications,WOS:000848339000001
69954,NA,NA,https://doi.org/10.1111/apps.12319,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,Does perceived overqualification cultivate angels or demons? Examining its interpersonal outcomes through pride from an evolutionary psychology perspective,WOS:000651445700001
26426,NA,NA,https://doi.org/10.1016/j.learninstruc.2021.101564,LEARNING AND INSTRUCTION,When students show some initiative: Two experiments on the benefits of greater agentic engagement,WOS:000829576600011
58833,NA,NA,https://doi.org/10.1037/pspa0000292,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,A Social Network Perspective on the Bamboo Ceiling: Ethnic Homophily Explains Why East Asians but Not South Asians Are Underrepresented in Leadership in Multiethnic Environments,WOS:000733194700001
40439,NA,NA,https://doi.org/10.1016/j.jadohealth.2021.08.001,JOURNAL OF ADOLESCENT HEALTH,The Efficacy of a Multi-Theory-Based Peer-Led Intervention on Oral Health Among Hong Kong Adolescents: A Cluster- Randomized Controlled Trial,WOS:000789211700014
59385,NA,NA,https://doi.org/10.1037/apl0000936,JOURNAL OF APPLIED PSYCHOLOGY,"Gender, Bottom-Line Mentality, and Workplace Mistreatment: The Roles of Gender Norm Violation and Team Gender Composition",WOS:000733079700001
38818,NA,NA,https://doi.org/10.1177/01492063221094261,JOURNAL OF MANAGEMENT,Within-Firm Variation in the Liability of Foreignness: A Demand-Based Perspective,WOS:000796234900001
21655,NA,NA,https://doi.org/10.1177/09567976221094630,PSYCHOLOGICAL SCIENCE,No Evidence That Siblings' Gender Affects Personality Across Nine Countries,WOS:000845016600001
62726,NA,NA,https://doi.org/10.1016/j.chb.2021.107040,COMPUTERS IN HUMAN BEHAVIOR,Making friends on Facebook: Common group membership as a central decision rule*,WOS:000710661000002
26045,NA,NA,https://doi.org/10.1016/j.jenvp.2022.101842,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,They can and will: Preschoolers encourage pro-environmental behavior with rewards and punishments,WOS:000829689200004
17707,NA,NA,https://doi.org/10.1016/j.jenvp.2022.101807,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Empirical characterisation of agents' spatial behaviour in pedestrian movement simulation,WOS:000861164500001
48798,NA,NA,https://doi.org/10.1017/S0033291720002251,PSYCHOLOGICAL MEDICINE,"Online psychological interventions to reduce symptoms of depression, anxiety, and general distress in those with chronic health conditions: a systematic review and meta-analysis of randomized controlled trials",WOS:000760333800016
75660,NA,NA,https://doi.org/10.1007/s11469-019-00136-8,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,"The Physical, Emotional, and Identity User-Avatar Association with Disordered Gaming: A Pilot Study",WOS:000493362200001
56383,NA,NA,https://doi.org/10.5093/ejpalc2022a1,EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,Assessing Independent Life Skills of Youth in Child Protection: A MultiInformant Approach,WOS:000742166100001
26152,NA,NA,https://doi.org/10.1037/apl0000599,JOURNAL OF APPLIED PSYCHOLOGY,Cannabis Use Does Not Increase Actual Creativity but Biases Evaluations of Creativity,WOS:000830738900001
10361,NA,NA,https://doi.org/10.1017/S0033291720004432,PSYCHOLOGICAL MEDICINE,Longitudinal changes in mental health and the COVID-19 pandemic: evidence from the UK Household Longitudinal Study,WOS:000880310400018
49673,NA,NA,https://doi.org/10.1016/j.chb.2021.107027,COMPUTERS IN HUMAN BEHAVIOR,Predicting continuance intention to fintech chatbot,WOS:000759711900002
53708,NA,NA,https://doi.org/10.1111/bjhp.12582,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,The importance of prototype similarity for physical activity: Cross-sectional and longitudinal associations in a large sample of young adolescents,WOS:000750917300001
45601,NA,NA,https://doi.org/10.1177/01492063221086247,JOURNAL OF MANAGEMENT,Orchestrating Knowledge Networks: Alter-Oriented Brokering,WOS:000777542200001
60899,NA,NA,https://doi.org/10.1016/j.learninstruc.2021.101524,LEARNING AND INSTRUCTION,Concreteness fading in learning secondary school physics concepts,WOS:000725569800015
31374,NA,NA,https://doi.org/10.1155/2022/6153053,HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES,"Phoning It in: Social Anxiety, Intolerance of Uncertainty, and Anxiety Reduction Motivations Predict Phone Use in Social Situations",WOS:000813496100001
49195,NA,NA,https://doi.org/10.1016/j.jadohealth.2021.08.022,JOURNAL OF ADOLESCENT HEALTH,"Investigating Incidence, Correlates, and Consequences of Child Marriage Among Syrian Refugees Residing in the South of Lebanon: A Cross-Sectional Study",WOS:000760321100013
65688,NA,NA,https://doi.org/10.1177/1745691621994241,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,"Interpersonal Chemistry: What Is It, How Does It Emerge, and How Does It Operate?",WOS:000689041300001
58713,NA,NA,https://doi.org/10.1037/met0000292,PSYCHOLOGICAL METHODS,Prior Sensitivity of Null Hypothesis Bayesian Testing,WOS:000733189700001
54655,NA,NA,https://doi.org/10.1007/s11469-021-00719-4,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Smoking Behavior and Driver's Involvement in Road Traffic Accidents in Bangladesh,WOS:000748678500002
33382,NA,NA,https://doi.org/10.1016/j.jvb.2022.103739,JOURNAL OF VOCATIONAL BEHAVIOR,Precarious work and workplace dignity during COVID-19: A longitudinal study,WOS:000808464100002
34759,NA,NA,https://doi.org/10.1007/s00787-022-02006-6,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Children and adolescents' emotional problems during the COVID-19 pandemic in Brazil,WOS:000805462100001
47482,NA,NA,https://doi.org/10.1037/amp0000983,AMERICAN PSYCHOLOGIST,Engagement in Digital Interventions,WOS:000769670600001
10884,NA,NA,https://doi.org/10.1159/000527115,PSYCHOTHERAPY AND PSYCHOSOMATICS,Operational Definitions of Treatment Response and Remission in Obsessive-Compulsive Disorder Capture Meaningful Improvements in Everyday Life,WOS:000879883400001
63747,NA,NA,https://doi.org/10.1016/j.chb.2021.106995,COMPUTERS IN HUMAN BEHAVIOR,Watching the world from my screen: A longitudinal evaluation of the influence of a problematic use of the internet on depressive symptomatology,WOS:000704366200004
39655,NA,NA,https://doi.org/10.1111/jcpp.13629,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"Warmth and reciprocity with mothers, and young children's resilience to exposure to community violence in Colombia: findings from the La Sabana Parent-Child Study",WOS:000792314400001
