"doi","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages.calculated","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","comments_AB","comments_on_AB"
"10.1002/ecs2.2070","ECOSPHERE",2018,"2018-2019","yes","no","glms, correlations, LSD tests, major axis regressions, ANCOVAs","SPSS and R",2,2,"1","1","1","no","no","NA","NA","NA","partially","yes","yes","no","no","open access, R not properly cited, R package version not provided",NA,NA
"10.1111/mec.14418","MOLECULAR ECOLOGY",2018,"2018-2019","yes","yes","phylogenetic analyses, mann-whitney tests, glms, sequencing, bootstraping","Figtree and SPSS and R",3,0,"3","3","3","no","no","NA","NA","NA","partially","yes","yes","yes","yes","R not cited and version not provided, Rstudio cited instead",NA,NA
"10.1111/mec.14589","MOLECULAR ECOLOGY",2018,"2018-2019","yes","yes","sequencing, redundancy analysis, BIC, discriminant analysis, permutations, mantel tests, pop. Genetics","R and Stacks and Gsnap and Plink and Vcftools",5,3,"10","10","10","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.db6177b","repository","Dryad","yes","yes","yes","yes","yes","NA",NA,NA
"10.1111/2041-210X.13073","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","yes","no","correlations, boundary strength analysis","R and MATLAB",2,0,"2","2","1","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.g66247g","repository and supplementary file","Dryad","no","no","yes","yes","yes","NA",NA,NA
"10.1002/ecs2.2215","ECOSPHERE",2018,"2018-2019","yes","no","population models, MCMC exponential models","R",1,0,"1","1","1","yes","yes","https://github.com/mskoldSU/ReproductiveRates","version control platform","GitHub","yes","yes","yes","yes","yes","open access",NA,NA
"10.1002/ecs2.2166","ECOSPHERE",2018,"2018-2019","yes","no","lms, glms, PCA","Arcgis and R",2,2,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","open access",NA,NA
"10.1002/ecs2.2403","ECOSPHERE",2018,"2018-2019","yes","no","matched-pair analysis and standard regression test","JMP and Ecosim",2,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","open access",NA,NA
"10.1002/ecs2.2504","ECOSPHERE",2018,"2018-2019","yes","no","ANOVAs, Tukey post hoc tests, non-metric multidimensional scaling","R",1,1,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","open access, R packages not cited and their versions not provided (except 1)",NA,NA
"10.1111/1365-2656.12890","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","yes","no","glmms, correlations, AIC","SAS",1,0,"0","0","NA","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.v056r5h","repository","Dryad","no","no","yes","yes","yes","NA",NA,NA
"10.1086/697223","AMERICAN NATURALIST",2018,"2018-2019","yes","no","NA","R",1,0,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","they used code from someonelse to run some analyses, the R script should be available in a GitHub repository, but not easily findable.",NA,NA
"10.1111/1365-2656.12808","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","yes","no","correlations, glmms, AIC, GAMs, glms, bootstraping","R",1,0,"3","3","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","Syntax of the full glmm provided in the supplements but that is all. R packages versions of 3 out of 4 not provided",NA,NA
"10.1002/ecy.2147","ECOLOGY",2018,"2018-2019","yes","no","regressions and built an interaction model","Stella",1,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","STELLA is a programming language: https://en.wikipedia.org/wiki/STELLA_(programming_language)",NA,NA
"10.1111/1365-2435.13040","FUNCTIONAL ECOLOGY",2018,"2018-2019","yes","no","ANOVAs, lmms, t tests","R",1,1,"2","2","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R package version of 1 package (out of 2) not provided",NA,NA
"10.1111/1365-2656.12888","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","yes","no","AIC, survival analyses, glmms, glms, correlations, lms, simulations, LTRE analysis","R",1,1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions not provided. MARK called from R through package Rmark",NA,NA
"10.1002/ecs2.2475","ECOSPHERE",2018,"2018-2019","yes","no","glms, GAMs","R",1,0,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","open access, R and R packages versions not provided just years in the citations (e.g. 2016)",NA,NA
"10.1002/ecy.2444","ECOLOGY",2018,"2018-2019","yes","no","correlations, mixed models, ANOVAS, post-hoc tests","R and SPSS",2,2,"1","1","0","no","no","NA","NA","NA","partially","yes","yes","no","no","R not cited but mentioned including version",NA,NA
"10.1098/rspb.2018.0758","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","yes","sequencing, PCoA, lmms, glmms, PERMANOVA, Kruskal-Wallis tests","R",1,1,"3","3","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions not provided, furthermore 1 out of 4  packages not properly cited, and a function named instead of the package name in one case",NA,NA
"10.1111/1365-2656.12791","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","yes","no","bayesian occupancy models, glmms","R",1,1,"1","1","1","yes","yes","https://doi.org/10.1111/1365-2656.12791","supplementary file","NA","yes","yes","yes","yes","yes","JAGS called through R via R package jagsUI",NA,NA
"10.1086/697472","AMERICAN NATURALIST",2018,"2018-2019","yes","no","theoretical model and simulations run to test it","Mathematica",1,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA",NA,NA
"10.1111/1365-2435.13197","FUNCTIONAL ECOLOGY",2018,"2018-2019","yes","no","lmms, R2, variance component analysis, AIC, phylogenetic signal","R and Mesquite",2,2,"5","5","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA
"10.1111/1365-2745.13003","JOURNAL OF ECOLOGY",2018,"2018-2019","yes","no","glms, glmms, AIC","R",1,1,"3","3","2","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions for 3 out of 4 packages not provided, lme4 not properly cited",NA,NA
"10.1098/rspb.2018.1760","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","lms","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","open access, software used for the analyses unknown",NA,NA
"10.1098/rspb.2018.1716","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","t tests, leave-one-out analyses, permutation analyses","R",1,0,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","software used for the analyses unknown, but they used an R package for the eyetracking procedure. R not properly cited, and R and R package versions not provided",NA,NA
"10.1098/rspb.2018.0939","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","ANOVAs, logistic regressions, glms, bootstrapping, GLS","R",1,1,"0","0","NA","yes","yes","https://figshare.com/articles/Endogenous_oxytocin_predicts_helping_and_conversation_as_a_function_of_group_membership/5620429","repository","Figshare","yes","yes","yes","yes","yes","R packages not proprely cited and versions not provided",NA,NA
"10.1111/mec.14849","MOLECULAR ECOLOGY",2018,"2018-2019","yes","yes","PCA, correlations, GWAS, redundancy analysis, permutations, t tests","R and Arlequin and Structure and Megastat",4,1,"4","5","1","partially","yes","https://datadryad.org/resource/doi:10.5061/dryad.93h33","repository","Dryad","yes","yes","yes","yes","yes","the code provided is, as described by the authors, R script to convert data in adjusted PLINK format to format suitable for RF analyses. Example run of RF included in script.",NA,NA
"10.1098/rspb.2017.2851","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","glms, random forest models","R",1,0,"2","3","0","yes","yes","https://github.com/curdon/linguisticDensity_ProcB_derungsEtAl","version control platform","GitHub","yes","yes","yes","yes","yes","NA",NA,NA
"10.1111/1365-2664.13230","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","yes","yes","permutational ANOVAs, genotyping, nonparametric tests","R",1,0,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R and R packages not cited and their versions not provided (except 1 out of 5)",NA,NA
"10.1098/rspb.2018.0294","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","chi-square, t tests, correlations","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","open access, software used for the analyses unknown",NA,NA
"10.1111/1365-2745.12984","JOURNAL OF ECOLOGY",2018,"2018-2019","yes","no","lms, ANOVAs","R",1,1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R not properly cited",NA,NA
"10.1002/ecy.2475","ECOLOGY",2018,"2018-2019","yes","no","glms, lms, lmms, glmms","R",1,1,"4","4","3","yes","yes","https://doi.org/10.1002/ecy.2475","supplementary file","NA","yes","yes","yes","yes","yes","not all the R packages versions are provided. Code mentioned in Appendix S1 as ""Models, analyses and results are described in greater detail in the main text and supplementary Rmarkdown script.""",NA,NA
"10.1111/mec.14517","MOLECULAR ECOLOGY",2018,"2018-2019","yes","yes","sequencing, lmms, time-series analysis, Mann-Whitney-Wilcoxon tests, correlations","R",1,0,"3","3","0","yes","yes","https://scholarsphere.psu.edu/collections/z316q174q","repository","Scholarsphere","yes","yes","yes","yes","yes","The repository used is from the Pennsylvania State University",NA,NA
"10.1098/rspb.2018.1698","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","glms, correlations","R",1,0,"0","0","NA","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.n8f2q8g","repository","Dryad","yes","yes","yes","yes","yes","R not properly cited and R version not provided",NA,NA
"10.1111/1365-2435.12941","FUNCTIONAL ECOLOGY",2018,"2018-2019","yes","no","Tukey tests, T tests, lmms, meta-analysis, ANOVAs","R",1,1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","partially","yes","1 out of 2 R packages not properly cited and versions not provided either",NA,NA
"10.1111/2041-210X.12962","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","yes","no","GAMs, regressions, lmmms","R",1,0,"4","4","2","yes","yes","http://www.forestplots.net/data-packages/Sullivan-et-al-2018","webpage","NA","yes","yes","yes","yes","yes","open access, data and code hosted in a webpage of a global project called ForestPlots.net",NA,NA
"10.1038/s41437-017-0039-9","HEREDITY",2018,"2018-2019","yes","yes","mantel tests, simulations, ANOVAs, distance-based redundancy analysis","R and Nemo2 and Cdpop",3,0,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","partially","yes","R not properly cited, and R and R package version not provided either, Nemo and CDPOP used for simulations, version not provided",NA,NA
"10.1098/rspb.2017.2329","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","spatial autocorrelations, glms, GAMs, GBMs, least-square regressions, random forests, bootstrapping, t tests, Mann-Whitney tests","R and Flight",2,1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R package version of 1 out of 2 packages not provided",NA,NA
