id,authors,title,keywords,pubMonth,pubYear,volume,firstPage,lastPage,doi
zkeXT,"Meir, I; Aronoff, M; Borstell, C; Hwang, SO; Ilkbasaran, D; Kastner, I; Lepic, R; Ben-Basat, AL; Padden, C; Sandler, W",The effect of being human and the basis of grammatical word order: Insights from novel communication systems and young sign languages,Word order; New sign languages; Elicited pantomime; Animacy; Humanness; Salience,JAN,2017,158,189,207,http://doi.org/10.1016/j.cognition.2016.10.011
tOZuq,"Cameron, CD; Payne, BK; Sinnott-Armstrong, W; Scheffer, JA; Inzlicht, M",Implicit moral evaluations: A multinomial modeling approach,Morality; Moral judgment; Ethics; Implicit cognition; Modeling,JAN,2017,158,224,241,http://doi.org/10.1016/j.cognition.2016.10.013
mdZMK,"Hechler, S; Neyer, FJ; Kessler, T",The infamous among us: Enhanced reputational memory for uncooperative ingroup members,Ingroup cooperation; Cheating; Ingroup bias; Source memory; Minimal groups,DEC,2016,157,1,13,http://doi.org/10.1016/j.cognition.2016.08.001
bQjnT,"Majdandzic, J; Amashaufer, S; Hummer, A; Windischberger, C; Lamm, C",The selfless mind: How prefrontal involvement in mentalizing with similar and dissimilar others shapes empathy and prosocial behavior,Mentalizing; Similarity; Self-inhibition; Empathy; Prosocial; fMRI,DEC,2016,157,24,38,http://doi.org/10.1016/j.cognition.2016.08.003
xaCJr,"Rosa-Salva, O; Grassi, M; Lorenzi, E; Regolin, L; Vallortigara, G",Spontaneous preference for visual cues of animacy in naive domestic chicks: The case of speed changes,Animacy perception; Acceleration; Speed change; Gallus gallus; Social predisposition; Spontaneous preference,DEC,2016,157,49,60,http://doi.org/10.1016/j.cognition.2016.08.014
EGmsU,"Hamrick, JB; Battaglia, PW; Griffiths, TL; Tenenbaum, JB",Inferring mass in complex scenes by mental simulation,Mental simulation; Physical reasoning; Probabilistic simulation; Inference; Learning,DEC,2016,157,61,76,http://doi.org/10.1016/j.cognition.2016.08.012
SFBil,"Michael, J; Sebanz, N; Knoblich, G",Observing joint action: Coordination creates commitment,Commitment; Coordination; Joint action; Social expectations; Cooperation,DEC,2016,157,106,113,http://doi.org/10.1016/j.cognition.2016.08.024
BVIXI,"Kellen, D; Pachur, T; Hertwig, R",How (in)variant are subjective representations of described and experienced risk and rewards?,Risky choice; Decisions from experience; Cumulative prospect theory; Hierarchical Bayesian modeling,DEC,2016,157,126,138,http://doi.org/10.1016/j.cognition.2016.08.020
eiOCo,"Kowaguchi, M; Patel, NP; Bunnell, ME; Kralik, JD",Competitive control of cognition in rhesus monkeys,Problem-solving; Tool use; Tertiary relationships; Decision-making; Cognitive control; Reasoning; Conceptual knowledge; Reward,DEC,2016,157,146,155,http://doi.org/10.1016/j.cognition.2016.08.017
FCdei,"Qian, T; Jaeger, TF; Aslin, RN",Incremental implicit learning of bundles of statistical patterns,Bayesian nonparametric models; Stimulus bundles; Incremental learning; Implicit learning; Sequential input; Memory,DEC,2016,157,156,173,http://doi.org/10.1016/j.cognition.2016.09.002
LFOLb,"Johannes, K; Wilson, C; Landau, B",The importance of lexical verbs in the acquisition of spatial prepositions: The case of in and on,Language development; Spatial cognition; Spatial language; Prepositions; Verbs,DEC,2016,157,174,189,http://doi.org/10.1016/j.cognition.2016.08.022
jWSDW,"Nobes, G; Panagiotaki, G; Bartholomew, KJ","The influence of intention, outcome and question-wording on children's and adults' moral judgments",Moral development; Moral judgment; Intention; Outcome; Replication; Acceptability; Punishment,DEC,2016,157,190,204,http://doi.org/10.1016/j.cognition.2016.08.019
FbXsO,"Krist, H; Karl, K; Kruger, M",Contrasting preschoolers' verbal reasoning in an object-individuation task with young infants' preverbal feats,Cognitive development; Continuity vs. discontinuity; Object individuation; Physical reasoning; Eye tracking,DEC,2016,157,205,218,http://doi.org/10.1016/j.cognition.2016.09.008
zJGPr,"Doebel, S; Zelazo, PD",Seeing conflict and engaging control: Experience with contrastive language benefits executive function in preschoolers,Executive function; Cognitive control; Verbal mediation; Cognitive Complexity and Control theory; Language and thought,DEC,2016,157,219,226,http://doi.org/10.1016/j.cognition.2016.09.010
esnkt,"Teglas, E; Bonatti, LL",Infants anticipate probabilistic but not deterministic outcomes,Probability intuitions in infancy; Anticipation,DEC,2016,157,227,236,http://doi.org/10.1016/j.cognition.2016.09.003
aYTsc,"Horstmann, G; Ansorge, U",Surprise capture and inattentional blindness,Inattentional blindness; Attention; Awareness; Expectancy discrepancy; Surprise; Intention,DEC,2016,157,237,249,http://doi.org/10.1016/j.cognition.2016.09.005
UvckV,"Branigan, HP; Messenger, K",Consistent and cumulative effects of syntactic experience in children's sentence production: Evidence for error-based implicit learning,Structural priming; Implicit learning; Language development; Error-based learning; Syntactic priming,DEC,2016,157,250,256,http://doi.org/10.1016/j.cognition.2016.09.004
FLDPD,"Parker, D; Phillips, C",Negative polarity illusions and the format of hierarchical encodings in memory,Sentence processing; Negative polarity; Agreement; Linguistic illusions; Memory; Binding; Representation,DEC,2016,157,321,339,http://doi.org/10.1016/j.cognition.2016.08.016
CGeBg,"Gambi, C; Pickering, MJ; Rabagliati, H",Beyond associations: Sensitivity to structure in pre-schoolers' linguistic predictions,Prediction; Association; Linguistic structure; Visual-world,DEC,2016,157,340,351,http://doi.org/10.1016/j.cognition.2016.10.003
cfkQy,"Kajimura, S; Nomura, M",When we cannot speak: Eye contact disrupts resources available to cognitive control processes during verb generation,Verbal communication; Eye contact; Verb generation; Cognitive control; Brain,DEC,2016,157,352,357,http://doi.org/10.1016/j.cognition.2016.10.002
kGgXJ,"Morgan, E; Levy, R",Abstract knowledge versus direct experience in processing of binomial expressions,Binomial expressions; Word order; Sentence processing; Comprehension; Frequency,DEC,2016,157,384,402,http://doi.org/10.1016/j.cognition.2016.09.011
oJOAI,"Anelli, F; Ciaramelli, E; Arzy, S; Frassinetti, F",Prisms to travel in time: Investigation of time-space association through prismatic adaptation effect on mental time travel,Time representation; Mental time travel; Self-projection; Self-reference; Spatial attention; Prismatic adaptation,NOV,2016,156,1,5,http://doi.org/10.1016/j.cognition.2016.07.009
DFXWG,"Le Bars, S; Hsu, YF; Waszak, F",The impact of subliminal effect images in voluntary vs. stimulus-driven actions,Ideomotor principle; Effect representation; Voluntary action; Stimulus-driven action; Stimulus-response compatibility; Action stages; Subliminal priming,NOV,2016,156,6,15,http://doi.org/10.1016/j.cognition.2016.07.005
QsGPr,"Scaltritti, M; Arfe, B; Torrance, M; Peressotti, F",Typing pictures: Linguistic processing cascades into finger movements,Word production; Typewriting; Written picture naming; Cascaded activation,NOV,2016,156,16,29,http://doi.org/10.1016/j.cognition.2016.07.006
IwMXr,"Walker, CM; Bridgers, S; Gopnik, A",The early emergence and puzzling decline of relational reasoning: Effects of knowledge and search on inferring abstract concepts,Cognitive development; Causal learning; Relational reasoning; Explanation; Bayesian inference,NOV,2016,156,30,40,http://doi.org/10.1016/j.cognition.2016.07.008
edskF,"Havy, M; Waxman, SR",Naming influences 9-month-olds' identification of discrete categories along a perceptual continuum,Word learning; Categorization; Lexical development; Perceptual continua,NOV,2016,156,41,51,http://doi.org/10.1016/j.cognition.2016.07.011
qbRBi,"Martin, A; Igarashi, Y; Jincho, N; Mazuka, R","Utterances in infant-directed speech are shorter, not slower",Infant-directed speech; Speech rate; Final lengthening,NOV,2016,156,52,59,http://doi.org/10.1016/j.cognition.2016.07.015
rdVgX,"Borodkin, K; Kenett, YN; Faust, M; Mashal, N",When pumpkin is closer to onion than to squash: The structure of the second language lexicon,Bilingualism; Mental lexicon; Semantic fluency; Small-world network; Modularity,NOV,2016,156,60,70,http://doi.org/10.1016/j.cognition.2016.07.014
mtYDU,"Huang, YT; Arnold, AR",Word learning in linguistic context: Processing and memory effects,Syntactic processing; Word learning; Memory; Syntactic bootstrapping,NOV,2016,156,71,87,http://doi.org/10.1016/j.cognition.2016.07.012
rpxGs,"Todd, AR; Simpson, AJ",Anxiety impairs spontaneous perspective calculation: Evidence from a level-1 visual perspective-taking task,Anxiety; Emotion; Implicit mentalizing; Theory of mind; Visual perspective taking,NOV,2016,156,88,94,http://doi.org/10.1016/j.cognition.2016.08.004
SfqUs,"Gong, XM; Xiao, HR; Wang, DH",Emotional valence of stimuli modulates false recognition: Using a modified version of the simplified conjoint recognition paradigm,Emotional valence; False memory; Conjoint Recognition (CR) paradigm; Multinomial model; Memory traces; Phantom recollection,NOV,2016,156,95,105,http://doi.org/10.1016/j.cognition.2016.08.002
fyGkU,"Oberauer, K; Lewandowsky, S",Control of information in working memory: Encoding and removal of distractors in the complex-span paradigm,Working Memory; Complex span; Interference; Decay,NOV,2016,156,106,128,http://doi.org/10.1016/j.cognition.2016.08.007
BCzxK,"Newman, GE; Smith, RK",The need to belong motivates demand for authentic objects,Authenticity; Contagion; Need to belong; Psychological substitution,NOV,2016,156,129,134,http://doi.org/10.1016/j.cognition.2016.08.006
oBneh,"Snefjella, B; Kuperman, V","It's all in the delivery: Effects of context valence, arousal, and concreteness on visual word processing",Word recognition; Valence; Arousal; Concreteness; Semantic prosody; Recognition memory,NOV,2016,156,135,146,http://doi.org/10.1016/j.cognition.2016.07.010
oVPcU,"Kocab, A; Senghas, A; Snedeker, J",The emergence of temporal language in Nicaraguan Sign Language,Temporal language; Language evolution; Nicaraguan Sign Language,NOV,2016,156,147,163,http://doi.org/10.1016/j.cognition.2016.08.005
QjygY,"Samland, J; Waldmann, MR",How prescriptive norms influence causal inferences,Causal reasoning; Moral judgment; Causal selection; Conversational pragmatics; Norms,NOV,2016,156,164,176,http://doi.org/10.1016/j.cognition.2016.07.007
UcGLB,"Kalenine, S; Wamain, Y; Decroix, J; Coello, Y",Conflict between object structural and functional affordances in peripersonal space,Affordances; Action selection; Manipulable objects; Space; Virtual reality,OCT,2016,155,1,7,http://doi.org/10.1016/j.cognition.2016.06.006
BaDuq,"Unger, K; Ackerman, L; Chatham, CH; Amso, D; Badre, D",Working memory gating mechanisms explain developmental change in rule-guided behavior,Working memory; Input and output gating; Cognitive control; Development; Computational model,OCT,2016,155,8,22,http://doi.org/10.1016/j.cognition.2016.05.020
snzLL,"Noh, SM; Yan, VX; Bjork, RA; Maddox, WT",Optimal sequencing during category learning: Testing a dual-learning systems perspective,Category learning; Schedules; Sequencing; Blocking; Interleaving; Dual-systems,OCT,2016,155,23,29,http://doi.org/10.1016/j.cognition.2016.06.007
VwthW,"Volter, CJ; Sentis, I; Call, J",Great apes and children infer causal relations from patterns of variation and covariation,Primate cognition; Observational causal learning; Problem solving; Blicket detector; Comparative cognition,OCT,2016,155,30,43,http://doi.org/10.1016/j.cognition.2016.06.009
dfTWx,"Guterstam, A; Zeberg, H; Ozciftci, VM; Ehrsson, HH",The magnetic touch illusion: A perceptual correlate of visuo-tactile integration in peripersonal space,Peripersonal space; Body ownership; Self-perception; Multisensory integration,OCT,2016,155,44,56,http://doi.org/10.1016/j.cognition.2016.06.004
vNCyj,"Nam, YJ; Polka, L",The phonetic landscape in infant consonant perception is an uneven terrain,Infant speech perception; Perceptual bias; Consonants; Natural Referent Vowel framework; Asymmetry,OCT,2016,155,57,66,http://doi.org/10.1016/j.cognition.2016.06.005
Eqtzf,"Hopkins, EJ; Weisberg, DS; Taylor, JCV",The seductive allure is a reductive allure: People prefer scientific explanations that contain logically irrelevant reductive information,Explanations; Seductive allure; Decision making,OCT,2016,155,67,76,http://doi.org/10.1016/j.cognition.2016.06.011
PQzyz,"Chekaf, M; Cowan, N; Mathy, F",Chunk formation in immediate memory and how it relates to data compression,Immediate memory; Working memory; Span; Chunking; Data compression; Categorization,OCT,2016,155,96,107,http://doi.org/10.1016/j.cognition.2016.05.024
heGqg,"Fernandez-Martin, A; Calvo, MG",Selective orienting to pleasant versus unpleasant visual scenes,Emotion; Attention; Extrafoveal; Eye movements; Visual scenes,OCT,2016,155,108,112,http://doi.org/10.1016/j.cognition.2016.06.010
EHntj,"Macken, B; Taylor, JC; Kozlov, MD; Hughes, RW; Jones, DM",Memory as embodiment: The case of modality and serial short-term memory,Short-term memory; Serial recall; Modality effect; Embodied cognition,OCT,2016,155,113,124,http://doi.org/10.1016/j.cognition.2016.06.013
qfOCR,"Zhu, ZJ; Wang, YY; Cao, ZJ; Chen, BQ; Cai, HQ; Wu, YH; Rao, Y",Cue-independent memory impairment by reactivation-coupled interference in human declarative memory,Declarative memory; Interference; Reactivation; Reconsolidation,OCT,2016,155,125,134,http://doi.org/10.1016/j.cognition.2016.06.015
gvlOv,"Aksentijevic, A; Treider, JMG",It's all in the past: Deconstructing the temporal Doppler effect,Temporal Doppler effect; Temporal perspective; Time line; Time perception; Distance judgment,OCT,2016,155,135,145,http://doi.org/10.1016/j.cognition.2016.07.001
zMRRb,"Gelman, SA; Davidson, NS",Young children's preference for unique owned objects,Ownership; Individuals; Children; Attachment objects,OCT,2016,155,146,154,http://doi.org/10.1016/j.cognition.2016.06.016
obGtF,"De Havas, J; Ghosh, A; Gomi, H; Haggard, P",Voluntary motor commands reveal awareness and control of involuntary movement,Motor control; Involuntary movement; Inhibition; Action awareness; Bilateral movement; Negative motor command,OCT,2016,155,155,167,http://doi.org/10.1016/j.cognition.2016.06.012
CLrZt,"Elenbaas, L; Rizzo, MT; Cooley, S; Killen, M",Rectifying social inequalities in a resource allocation task,Social cognition; Moral development; Intergroup attitudes; Fairness; Ingroup bias; Resource allocation,OCT,2016,155,176,187,http://doi.org/10.1016/j.cognition.2016.07.002
WGFrL,"Nishibayashi, LL; Nazzi, T","Vowels, then consonants: Early bias switch in recognizing segmented word forms",Consonant bias; Word segmentation; Phonology/lexicon interface; Infancy; French,OCT,2016,155,188,203,http://doi.org/10.1016/j.cognition.2016.07.003
NRwMf,"Rajkumar, R; van Schijndel, M; White, M; Schuler, W",Investigating locality effects and surprisal in written English syntactic choice phenomena,Language production; Dependency locality; Surprisal; Constituent ordering,OCT,2016,155,204,232,http://doi.org/10.1016/j.cognition.2016.06.008
UuxOX,"Holtgraves, T; Perdew, A",Politeness and the communication of uncertainty,Communicating uncertainty; Politeness; Face management; Ambiguity; Scalar expressions,SEP,2016,154,1,10,http://doi.org/10.1016/j.cognition.2016.05.005
KHczH,"Chen, QR; Zhang, JJ; Xu, XD; Scheepers, C; Yang, YM; Tanenhaus, MK",Prosodic expectations in silent reading: ERP evidence from rhyme scheme and semantic congruence in classic Chinese poems,Prosody; Poem; Rhyme scheme; Semantics; P200; N400; N400-like,SEP,2016,154,11,21,http://doi.org/10.1016/j.cognition.2016.05.007
xrpoQ,"Roeder, JL; Ashby, FG",What is automatized during perceptual categorization?,Categorization; Perception; Automatic learning; Implicit-explicit cognition,SEP,2016,154,22,33,http://doi.org/10.1016/j.cognition.2016.04.005
wOnYr,"Geipel, J; Hadjichristidis, C; Surian, L",Foreign language affects the contribution of intentions and outcomes to moral judgment,Foreign language; Moral judgment; Intention; Emotion; Cognitive depletion; Outcome bias,SEP,2016,154,34,39,http://doi.org/10.1016/j.cognition.2016.05.010
ihLWD,"Mody, S; Carey, S",The emergence of reasoning by the disjunctive syllogism in early childhood,Logic; Reasoning; Inference; Cognitive development; Disjunctive syllogism; Reasoning by exclusion,SEP,2016,154,40,48,http://doi.org/10.1016/j.cognition.2016.05.012
GCZaN,"Wimmer, MC; Maras, KL; Robinson, EJ; Thomas, C",The format of children's mental images: Evidence from mental scanning,Cognitive development; Mental imagery; Image scanning; Format; Visuo-spatial processes,SEP,2016,154,49,54,http://doi.org/10.1016/j.cognition.2016.05.017
aPYea,"Gauthier, B; van Wassenhove, V",Cognitive mapping in mental time travel and mental space navigation,Self-projection; Temporal cognition; Spatial cognition; Event; Magnitude system; Mental imagery,SEP,2016,154,55,68,http://doi.org/10.1016/j.cognition.2016.05.015
oNtbU,"Miozzo, M; Petrova, A; Fischer-Baum, S; Peressotti, F",Serial position encoding of signs,Sign language; Deafness; Short-term memory,SEP,2016,154,69,80,http://doi.org/10.1016/j.cognition.2016.05.008
LlEmL,"Mill, RD; O'Connor, AR; Dobbins, IG",Pupil dilation during recognition memory: Isolating unexpected recognition from judgment uncertainty,Recognition memory; Decision-making; Pupillometry; Orienting; Uncertainty,SEP,2016,154,81,94,http://doi.org/10.1016/j.cognition.2016.05.018
nvKBz,"Zhou, JF; Zhang, HH; Ding, XW; Shui, RD; Shen, MW",Object formation in visual working memory: Evidence from object-based attention,Visual working memory; Visual perception; Information integration; Object-based attention,SEP,2016,154,95,101,http://doi.org/10.1016/j.cognition.2016.04.009
KteeD,"Yoon, SO; Benjamin, AS; Brown-Schmidt, S",The historical context in conversation: Lexical differentiation and memory for the discourse history,Dialogue; Discourse; Lexical differentiation; Memory,SEP,2016,154,102,117,http://doi.org/10.1016/j.cognition.2016.05.011
LRiVc,"Walsh, L; Critchlow, J; Beck, B; Cataldo, A; de Boer, L; Haggard, P",Salience-driven overestimation of total somatosensory stimulation,Perceptual integration; Salience; Somatosensory aggregation; Tactile; Thermal,SEP,2016,154,118,129,http://doi.org/10.1016/j.cognition.2016.05.006
osyhJ,"Yashar, A; Carrasco, M",Rapid and long-lasting learning of feature binding,Feature binding; Perceptual learning; Conjunction search; Visual search,SEP,2016,154,130,138,http://doi.org/10.1016/j.cognition.2016.05.019
zIKYL,"Van Hedger, SC; Heald, SLM; Nusbaum, HC",What the [bleep]? Enhanced absolute pitch memory for a 1000 Hz sine tone,Absolute pitch; Auditory memory; Expertise; Memory precision,SEP,2016,154,139,150,http://doi.org/10.1016/j.cognition.2016.06.001
uKwTk,"Horner, AJ; Bisby, JA; Wang, AJ; Bogus, K; Burgess, N",The role of spatial boundaries in shaping long-term event representations,Episodic memory; Event segmentation; Spatial memory; Computational modelling; Virtual reality,SEP,2016,154,151,164,http://doi.org/10.1016/j.cognition.2016.05.013
TbyyQ,"Cashon, CH; Ha, OR; Estes, KG; Saffran, JR; Mervis, CB",Infants with Williams syndrome detect statistical regularities in continuous speech,Williams syndrome; Statistical learning; Language development; Language delay; Lexical development; Infancy,SEP,2016,154,165,168,http://doi.org/10.1016/j.cognition.2016.05.009
UpGSS,"Canzoneri, E; di Pellegrino, G; Herbelin, B; Blanke, O; Serino, A","Conceptual processing is referenced to the experienced location of the self, not to the location of the physical body",Bodily self-consciousness; Psychological distance; Self; Multisensory processing; Embodied cognition,SEP,2016,154,182,192,http://doi.org/10.1016/j.cognition.2016.05.016
SXoTj,"Kuriki, S; Tamura, Y; Igarashi, M; Kato, N; Nakano, T",Similar impressions of humanness for human and artificial singing voices in autism spectrum disorders,Autism; Artificial voice; Humanness; Music,AUG,2016,153,1,5,http://doi.org/10.1016/j.cognition.2016.04.004
GZuiA,"Skordos, D; Papafragou, A",Children's derivation of scalar implicatures: Alternatives and relevance,Scalar implicature; Relevant alternatives; Pragmatic inference; Pragmatic development,AUG,2016,153,6,18,http://doi.org/10.1016/j.cognition.2016.04.006
KnWKQ,"Ihssen, N; Mussweiler, T; Linden, DEJ",Observing others stay or switch - How social prediction errors are integrated into reward reversal learning,Reversal learning; Social influence; Reward; Prediction error; Similarity,AUG,2016,153,19,32,http://doi.org/10.1016/j.cognition.2016.04.012
veFJv,"Desantis, A; Haggard, P",Action-outcome learning and prediction shape the window of simultaneity of audiovisual outcomes,Agency; Voluntary action; Action-outcome learning; Action-outcome prediction; Time perception; Audiovisual binding,AUG,2016,153,33,42,http://doi.org/10.1016/j.cognition.2016.03.009
KZOUC,"Vaish, A; Herrmann, E; Markmann, C; Tomasello, M",Preschoolers value those who sanction non-cooperators,Norm enforcement; Second-order cooperation; Punishment; Reputation; Moral development,AUG,2016,153,43,51,http://doi.org/10.1016/j.cognition.2016.04.011
aaxRO,"Mizrak, E; Ouml;ztekin, I",Working memory capacity and controlled serial memory search,Working memory capacity; Temporal order memory; Memory retrieval; Serial memory search; Controlled processing; Speed-accuracy trade-off procedure,AUG,2016,153,52,62,http://doi.org/10.1016/j.cognition.2016.04.007
aEEro,"Emberson, LL; Rubinstein, DY",Statistical learning is constrained to less abstract patterns in complex sensory input (but not the least),Psychology; Learning; Statistical learning; Implicit learning; Cognitive development; Pattern recognition; Vision; Perception; Perceptual learning; Object perception; Categorization,AUG,2016,153,63,78,http://doi.org/10.1016/j.cognition.2016.04.010
YiEes,"Jones, G",The influence of children's exposure to language from two to six years: The case of nonword repetition,Language exposure; Nonword repetition; Statistical learning; Phonological sensitivity; CLASSIC; Phonological working memory,AUG,2016,153,79,88,http://doi.org/10.1016/j.cognition.2016.04.017
DfRWO,"Sparks, S; Cunningham, SJ; Kritikos, A",Culture modulates implicit ownership-induced self-bias in memory,Self; Cross cultural differences; Implicit memory; Individual differences; Memory; Self reference effect,AUG,2016,153,89,98,http://doi.org/10.1016/j.cognition.2016.05.003
sEGLF,"Gudde, HB; Coventry, KR; Engelhardt, PE",Language and memory for object location,Memory; Object location; Spatial demonstratives; Possessives; Peripersonal/extrapersonal space,AUG,2016,153,99,107,http://doi.org/10.1016/j.cognition.2016.04.016
ZzoLZ,"Sun, Y; Fuentes, LJ; Humphreys, GW; Sui, J",Try to see it my way: Embodied perspective enhances self and friend-biases in perceptual matching,Self-bias; Personal perspective-taking; Embodiment,AUG,2016,153,108,117,http://doi.org/10.1016/j.cognition.2016.04.015
mFZMi,"Twomey, KE; Chang, F; Ambridge, B","Lexical distributional cues, but not situational cues, are readily used to learn abstract locative verb-structure associations",Lexical distributional learning; Language acquisition; Syntax acquisition; Verb semantics; Verb classes,AUG,2016,153,124,139,http://doi.org/10.1016/j.cognition.2016.05.001
vHFRQ,"Wood, JN",A smoothness constraint on the development of object recognition,Object recognition; Controlled rearing; Newborn; Smoothness; Chicken,AUG,2016,153,140,145,http://doi.org/10.1016/j.cognition.2016.04.013
jUAIn,"Pepperberg, IM; Nakayama, K",Robust representation of shape in a Grey parrot (Psittacus erithacus),Grey parrot; Subjective contours; Illusory contours; Kanizsa figures; Avian cognition; Avian perception; Amodal completion; Modal completion,AUG,2016,153,146,160,http://doi.org/10.1016/j.cognition.2016.04.014
GYmpX,"Fischer-Baum, S; Englebretson, R",Orthographic units in the absence of visual processing: Evidence from sublexical structure in braille,Reading; Braille; Morphology; Sublexical structure; Orthographic representation,AUG,2016,153,161,174,http://doi.org/10.1016/j.cognition.2016.03.021
PgCSk,"Lewis, ML; Frank, MC",The length of words reflects their conceptual complexity,Communication; Pragmatics; Information theory; Language evolution,AUG,2016,153,182,195,http://doi.org/10.1016/j.cognition.2016.04.003
iRTRd,"Chetverikov, A; Campana, G; Kristjansson, A",Building ensemble representations: How the shape of preceding distractor distributions affects visual search,Visual search; Ensemble representation; Summary statistics; Priming of pop-out; Line orientation,AUG,2016,153,196,210,http://doi.org/10.1016/j.cognition.2016.04.018
HFVKE,"Bhatia, S; Walasek, L",Event construal and temporal distance in natural language,Construal level theory; Psychological distance; Natural language; Big data,JUL,2016,152,1,8,http://doi.org/10.1016/j.cognition.2016.03.011
nndwj,"Poepsel, TJ; Weiss, DJ",The influence of bilingualism on statistical word learning,Statistical learning; Bilingualism; Mutual exclusivity; Cross-situational learning; Word learning,JUL,2016,152,9,19,http://doi.org/10.1016/j.cognition.2016.03.001
PEILi,"Girotto, V; Fontanari, L; Gonzalez, M; Vallortigara, G; Blaye, A",Young children do not succeed in choice tasks that imply evaluating chances,Probabilistic cognition; Proportional reasoning; Preschoolers; Infants; U-shape development,JUL,2016,152,32,39,http://doi.org/10.1016/j.cognition.2016.03.010
BWEDy,"Lopez-Barroso, D; Cucurell, D; Rodriguez-Fornells, A; de Diego-Balaguer, R",Attentional effects on rule extraction and consolidation from speech,Attention; Explicit learning; Implicit learning; Language learning; Rule learning,JUL,2016,152,61,69,http://doi.org/10.1016/j.cognition.2016.03.016
KCwSa,"Yermolayeva, Y; Rakison, DH",Seeing the unseen: Second-order correlation learning in 7-to 11-month-olds,Infancy; Cognition; Correlation; Learning; Inference,JUL,2016,152,87,100,http://doi.org/10.1016/j.cognition.2016.03.012
CfbGt,"Fausey, CM; Jayaraman, S; Smith, LB",From faces to hands: Changing visual input in the first two years,Scene statistics; Head camera; Faces; Hands; Infancy; Egocentric vision,JUL,2016,152,101,107,http://doi.org/10.1016/j.cognition.2016.03.005
gdfIA,"Lane, JD; Ronfard, S; Francioli, SP; Harris, PL",Children's imagination and belief: Prone to flights of fancy or grounded in reality?,Imagination; Counterintuitive concepts; Belief; Reality bias,JUL,2016,152,127,140,http://doi.org/10.1016/j.cognition.2016.03.022
pUVYn,"Rabaglia, CD; Maglio, SJ; Krehm, M; Seok, JH; Trope, Y",The sound of distance,Language; Sound symbolism; Distance; Spatial cognition,JUL,2016,152,141,149,http://doi.org/10.1016/j.cognition.2016.04.001
AmrYa,"Molnar, M; Carreiras, M; Gervain, J",Language dominance shapes non-linguistic rhythmic grouping in bilinguals,Rhythmic grouping; Phrasal prosody; Bilingualism; Non-linguistic tone,JUL,2016,152,150,159,http://doi.org/10.1016/j.cognition.2016.03.023
Pbqzu,"Collins, AGE; Frank, MJ",Neural signature of hierarchically structured expectations predicts clustering and transfer of rule sets in reinforcement learning,Structure-learning; EEG; Transfer; Clustering; Prefrontal cortex,JUL,2016,152,160,169,http://doi.org/10.1016/j.cognition.2016.04.002
