"Title","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","CommentonComments","Screener"
"An invasive slug exploits an ant-seed dispersal mutualism","OECOLOGIA",2016,"2015-2016","yes","no","GLMM, GLM, paired t test","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Associational resistance or susceptibility: the indirect interaction between chemically-defended and non-defended herbivore prey via a shared predator","OIKOS",2016,"2015-2016","yes","no","LME models, x2-tests, REML, GLMM","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","NA","NA","AC, AB"
"Belowground fungal associations and water interact to influence the compensatory response of Ipomopsis aggregata","OECOLOGIA",2016,"2015-2016","yes","no","MANOVA, t-test, ANOVA, ANCOVA","R",1,"1","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Biodiversity conservation across taxa and landscapes requires many small as well as single large habitat fragments","OECOLOGIA",2015,"2015-2016","yes","no","randomisation, redundancy analyses, nonlinear mixed-effects models, permutation test, glms, mantel test","EstimateS and R",2,"2","4","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data in suppl. PDF file","NA","AC, AB"
"Biome-specific effects of nitrogen and phosphorus on the photosynthetic characteristics of trees at a forest-savanna boundary in Cameroon","OECOLOGIA",2015,"2015-2016","yes","no","linear regression, bootstrapping","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","some data might be possible to read from figures","NA","AC, AB"
"Biotic and Abiotic Factors Interact to Regulate Northern Peatland Carbon Cycling","ECOSYSTEMS",2015,"2015-2016","yes","no","repeated measures mixed effects models, GLM","STATA",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","data available from https://datadryad.org/stash/dataset/doi:10.5061/dryad.ks10q","NA","AC, AB"
"Biotic invasions can alter nutritional composition of zooplankton communities","OIKOS",2015,"2015-2016","yes","no","PCA, non-parametric Welch's test,  Mann–Kendall test","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","Data accessibility: Data will be archived in the public archive Dryad (http://datadryad.org). also, some data are from other sournces and these might be available","NA","AC, AB"
"Budget of Primary Production and Dinitrogen Fixation in a Highly Seasonal Red Sea Coral Reef","ECOSYSTEMS",2016,"2015-2016","yes","no","PERMANOVA, PCO, Canonical analysis of principal coordinates","Primer",1,"1","1","1","no","no","NA","NA","NA","no","no","yes","partially","yes","Primer is a software in itself, no need to have the extension, so I could call this extension a package. I have modified analysis_software_names to simply Primer (instead of Primer-E for consistency throughout the dataset). Does #packages already reflect the Permanova extension as a package or where does the 1 come from? Permanova does not seem to have any versioning so I would put 1 for #packages_with_version as long as the version for Primer is provided (which it is).","NA","AC, AST, AB"
"Butterfly assemblages in residential gardens are driven by species' habitat preference and mobility","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","PCA, GLMM","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","partially","yes","very limited data available","NA","AC, AB"
"Changes in the apparent survival of a tropical bird in response to the El Nio Southern Oscillation in mature and young forest in Costa Rica","OECOLOGIA",2015,"2015-2016","yes","no","PCA, survival models, analysis of devianc","R and MARK",2,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Changing gears during succession: shifting functional strategies in young tropical secondary forests","OECOLOGIA",2015,"2015-2016","yes","no","linear mixed-effects model, variance partitioning","R",1,"1","3","1","no","no","NA","NA","NA","yes","yes","yes","no","no","very limited data available (probably can be obtained from suppl Fig)","NA","AC, AB"
"Climate change and wildfire risk in an expanding wildland-urban interface: a case study from the Colorado Front Range Corridor","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","CHANGE model (spatially explicit model), ANOVA, linear regression, 2 sample t-test","R",1,"0","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","searching for the conference proceedings the cite, leads me to realize that CHANGE is very likely programmed in C++, see https://www.researchgate.net/profile/Terry-Sohl/publication/263755619_A_simulation_model_of_human-natural_interactions_in_dynamic_landscapes/links/0c96053bd467992f3c000000/A-simulation-model-of-human-natural-interactions-in-dynamic-landscapes.pdf But it is uncler if CHANGE is in itself a software. I would suggest we are conservative and don't count it, so analysis_software_names = R","NA","AC, AST, AB"
"Climatic events inducing die-off in Mediterranean shrublands: are species' responses related to their functional traits?","OECOLOGIA",2016,"2015-2016","yes","no","linear and quadratic polynomial fits, PCA, linear fits, GLM","JMP",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Combined effects of area, connectivity, history and structural heterogeneity of woodlands on the species richness of hoverflies (Diptera: Syrphidae)","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","GLM, GOF","R",1,"1","2","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","quantified forest isolation and connectivity too. Data are 'hidden' in the supplement with no reference that it is data","NA","AC, AB"
"Comparative efficacy of levonorgestrel and deslorelin contraceptive implants in free-ranging eastern grey kangaroos (Macropus giganteus)","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","ANOVA, GLMM, Fisher's exact test","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Complex demographic responses of a common small mammal to a plant invasion","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","Huggins closed-capture model, GLMM, survival models","MARK",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","not stated the software used for GLMMs","NA","AC, AB"
"Consumer-plant interaction strength: importance of body size, density and metabolic biomass","OIKOS",2015,"2015-2016","yes","no","linear model, non-linear logarithmic functions","R",1,"0","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Contrasting environments shape thermal physiology across the spatial range of the sandhopper Talorchestia capensis","OECOLOGIA",2015,"2015-2016","yes","no","ANCOVA, Tukey HDS test, PERMANOVA","Statistica and R",2,"1","0","NA","no","no","NA","NA","NA","partially","yes","yes","partially","yes","one dataset available in a PDF as supplement","NA","AC, AB"
"Costs of social dispersal in a polygynous mammal","BEHAVIORAL ECOLOGY",2015,"2015-2016","yes","no","path analysis, log-rank test, survival analysis, 
Non-parametric constraints space analyses","R",1,"1","2","1","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Deciduous trees increase bat diversity at stand and landscape scales in mosaic pine plantations","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","linear mixed models, stance-based Redundancy Analysis, Monte Carlo permutation tests","R",1,"0","2","2","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Development of edge effects around experimental ecosystem hotspots is affected by hotspot density and matrix type","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","LMMs","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Direction of interaction between mountain pine beetle (Dendroctonus ponderosae) and resource-sharing wood-boring beetles depends on plant parasite infection","OECOLOGIA",2016,"2015-2016","yes","no","GLM, Goodness of fit. linear regression, bootstrap analysis, Pearson’s correlations","SAS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Disentangling the Litter Quality and Soil Microbial Contribution to Leaf and Fine Root Litter Decomposition Responses to Reduced Rainfall","ECOSYSTEMS",2016,"2015-2016","yes","no","PERMANOVA, PCO (visualisation), GLMM","Primer and R",2,"0","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AC, AB"
"Disentangling the relative importance of species occurrence, abundance and intraspecific variability in community assembly: a trait-based approach at the whole-plant level in Mediterranean forests","OIKOS",2016,"2015-2016","yes","no","principal component analysis, Pearson ́s correlation analyses,  Kolmogorov–Smirnov test, ANOVA, Tukey’s tes, redundancy analysis","SPSS and R",2,"2","2","1","no","no","NA","NA","NA","partially","yes","yes","partially","yes","could not find the supplement, thought it is mentioned","NA","AC, AST, AB"
"Dispersal of a defensive symbiont depends on contact between hosts, host health, and host size","OECOLOGIA",2015,"2015-2016","yes","no","GLMs, simulations","R",1,"1","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Drivers of synchronized vigilance in wild boar groups","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","LMMs, backward stepwise model selection, students t-test, permutations, simulations, Wilcoxon Signed-Rank Test","R",1,"0","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","some data might be possible to read from Figs","NA","AC, AB"
"Drought increases the impact of introduced European foxes on breeding Australian pelicans","WILDLIFE RESEARCH",2016,"2015-2016","yes","no","GLMs, path analysis","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","very limited climitic data potetnially available","NA","AC, AB"
"Drying responses of microbial litter decomposition and associated fungal and bacterial communities are not affected by emersion frequency","FRESHWATER SCIENCE",2015,"2015-2016","yes","yes","ANOVa, Tukeys test, PERMANOVA, linear regression, Mantel correlation analysis","R and PERMANOVA",2,"2","1","1","no","no","NA","NA","NA","partially","yes","yes","no","no","assumed that 6 marks the version of PERMANOVA software. supplement not OA","NA","AC, AST, AB"
"Ecological succession following forest decline in a xeric oak forest of south-central United States","JOURNAL OF PLANT ECOLOGY",2016,"2015-2016","yes","no","ANOVA, t-test","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC. AB"
"Ecological traits reveal functional nestedness of bird communities in habitat islands: a global survey","OIKOS",2015,"2015-2016","yes","no","PCA, cluster analysis, permunations","R",1,"1","4","2","no","no","NA","NA","NA","yes","yes","yes","no","no","mention that they have used base package of R , but we do not count this as a package","NA","AC, AST, AB"
"Edges within farmland: Management implications of taxon specific species richness correlates","BASIC AND APPLIED ECOLOGY",2015,"2015-2016","yes","no","manter test, randomization, pearsons pair-wise correlations, GLMs, stepwise progression, analysis of deviance,","PC-ORD and R",2,"1","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AC, AB"
"Effect of habitat traits on tree structure and growth in private gardens","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","cluster analysis, ordination analysis, Correspondence analysis","MS Excel and Multivariate Statistical Package (MVSP) and Canoco",3,"2","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Effect of the Relative Abundance of Conifers Versus Hardwoods on Soil delta C-13 Enrichment with Soil Depth in Eastern Canadian forests","ECOSYSTEMS",2015,"2015-2016","yes","no","BioSIM model (simluation based, for climatic variables), FORHYM and FORSTEM (for soil moisture and temp simluations), regression analysis, Pearson’s correlation tests, Backward stepwise multiple regressions","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","partially","yes","NA","NA","AC, AB"
"Effects of non-native Melilotus albus on pollination and reproduction in two boreal shrubs","OECOLOGIA",2015,"2015-2016","yes","no","non-parametric Wilcoxon rank sum test, MANOVA, ANOVA, multiple linear regression","SAS and R",2,"2","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AC, AB"
"Environment shapes invertebrate assemblage structure differences between volcanic spring-fed and runoff rivers in northern California","FRESHWATER SCIENCE",2016,"2015-2016","yes","no","regression, linear mixed effect model, Shapiro–Wilk tests, Welch t-test, nonmetric multidimensional scaling","R and PC-ORD",2,"1","5","3","no","no","NA","NA","NA","partially","yes","yes","no","no","supplements not OA","NA","AC, AST, AB"
"Environmental harshness shapes life-history variation in an Australian temporary pool breeding frog: a skeletochronological approach","OECOLOGIA",2015,"2015-2016","yes","no","cluster analysis, PCA, Fisher exact test, ANOVA, GLMM","R",1,"1","6","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Epiphyte communities in Mediterranean fragmented forests: importance of the fragment size and the surrounding matrix","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","specier area curve calulcations, GLMMs, GLMs","EstimateS and R",2,"2","1","0","no","no","NA","NA","NA","yes","yes","yes","partially","yes","reference of tha R package has unexisting version of the paclage (version 0.999999-2) so scored as no version provided. also calculated Simpsons diveristy index, and The Bray–Curtis similarity index ; some data available in supplementary word file","NA","AC, AB"
"Estimating sea-ice volume flux out of the Laptev Sea using multiple satellite observations","POLAR RESEARCH",2016,"2015-2016","yes","no","mathematical estimation of some variables, Uncertainty estimation, correlation analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","some data are available from online databaes, but probably difficult to extract exact data used.","NA","AC, AB"
"Evaluating habitat connectivity methodologies: a case study with endangered African wild dogs in South Africa","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","Ecological niche model, current-flow analysis, least-cost paths, ANOVA","Maxent and Circuitscape and Linkage Mapper",3,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Exploration is dependent on reproductive state, not social state, in a cooperatively breeding bird","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","GLMMs, Hierarchical generalized linear models","R",1,"1","2","2","no","no","NA","NA","NA","yes","yes","yes","no","no","very limited data can be red from Fig","NA","AC, AB"
"Exposure to sublethal concentrations of a pesticide or predator cues induces changes in brain architecture in larval amphibians","OECOLOGIA",2015,"2015-2016","yes","no","MANOVA, ANOVA, ANCOVA, PCA, Student–Newman–Keuls pairwise comparison test, bivariate Pearson correlations, Kruskal–Wallis test","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AC, AB"
"Extreme Climatic Event Triggers a Lake Regime Shift that Propagates Across Multiple Trophic Levels","ECOSYSTEMS",2016,"2015-2016","yes","no","estimation of values via math formulas, Modeling Ecosystem Responseto a Climatic Extreme,  hronological clustering (multivariate regression tree analysis), PCA, nonmetric multidimansional scaling","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Fear of the human super predator far exceeds the fear of large carnivores in a model mesocarnivore","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","repeated measures ANOVA, Dunnetts tests, normality and homogeniety of variance tests","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","data at https://datadryad.org/stash/dataset/doi:10.5061/dryad.4g0m4","NA","AC, AB"
"Feeding damage to plants increases with plant size across 21 Brassicaceae species","OECOLOGIA",2015,"2015-2016","yes","no","linear mixed effects models","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","no","no","very limited data from Fig","NA","AC, AB"
"Fire modulates climate change response of simulated aspen distribution across topoclimatic gradients in a semi-arid montane landscape","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","no","simulations, linear regression","LANDIS-II",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","partially","yes","some data might be possible to get from online databases, but unclear what exact data from these were used. the used software has extensions rather than packages. Do we code these? I did here","NA","AC, AB"
"Fish community responses and the temporal dynamics of recovery following river habitat restorations in Europe","FRESHWATER SCIENCE",2015,"2015-2016","yes","no","GLMs, Quantile regressions, Mantel test, permutations,  redundancy analysis","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","also calculated the Brillouin Index ; supplement non OA","NA","AC, AST, AB"
"Functional response of leaf- and planthoppers to modern fertilisation and irrigation of hay meadows","BASIC AND APPLIED ECOLOGY",2016,"2015-2016","yes","no","LMMs","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","supplements not OA","NA","AC, AST, AB"
"Geographic divergence in upper thermal limits across insect life stages: does behavior matter?","OECOLOGIA",2016,"2015-2016","yes","no","nlme model, glm, Cox propor-tional hazards regression model","R",1,"1","2","2","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Geographic variation in egg ejection rate by great tits across 2 continents","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","GLMs","JMP",1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","limited data in supplements (word docs)","NA","AC, AB"
"Growth-defense tradeoffs for two major anti-herbivore traits of the common milkweed Asclepias syriaca","OIKOS",2015,"2015-2016","yes","no","asymptotic regression model, non-linear mixed effects models,  linear regression, generalized least-squares regression, linear mixed effects models","R",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","graphical vector analysis, very limited data can be read from supplementary Figs","NA","AC, AB"
"Hatching hierarchy but not egg-related effects governs behavioral phenotypes in gull chicks","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","yes","U Mann–Whitney test, ANOVA, GLMs, failure-time model","SAS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AC, AB"
"Herbivore-induced changes in flower scent and morphology affect the structure of flower-visitor networks but not plant reproduction","OIKOS",2016,"2015-2016","yes","no","post hoc Tukey HSD tests, ANOVA, Kruskal–Wallis ANOVA, GLMs, non-metric multi dimensional scaling, Wilcoxon rank-sum tests, paird t-test","R",1,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data at ttp://dx.doi.org/10.5061/dryad.p1208","NA","AC, AB"
"Heterozygosity, gender, and the growth-defense trade-off in quaking aspen","OECOLOGIA",2016,"2015-2016","yes","yes","LME, ANOVA, likelihood ratio testing, non-linear mixed-effect model, third-order autoregressive proces","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Highly unsaturated fatty acids in nature: what we know and what we need to learn","OIKOS",2016,"2015-2016","yes","no","Descriptive statistics (box plots)","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","data at https://datadryad.org/stash/dataset/doi:10.5061/dryad.67dg6","NA","MP, AB"
"Highway to heaven? Roadsides as preferred habitat for two narrowly endemic crayfish","FRESHWATER SCIENCE",2016,"2015-2016","yes","no","GL Mixed Models","R",1,"1","4","1","no","no","NA","NA","NA","yes","yes","yes","no","no","could not open supplements (not OA)","NA","MP, AB"
"Host nutritional status mediates degree of parasitoid virulence","OIKOS",2016,"2015-2016","yes","no","ANCOVAs, GLMs, Kruskal-Wallis, Chi-squared tests","R",1,"1","NA","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data at https://datadryad.org/stash/dataset/doi:10.5061/dryad.7fq4j","NA","MP, AB"
"How phylogeny shapes the taxonomic and functional structure of plant-insect networks","OECOLOGIA",2016,"2015-2016","yes","yes","Univariate and multivariate statistics of the phylogenetic signal (PS); modeling cophylogenetic network structure","R",1,"1","3","1","no","no","NA","NA","NA","yes","yes","yes","partially","yes","limited data in supplements (word docs)","NA","MP, AB"
"Human-Imposed, Fine-Grained Patch Burning Explains the Population Stability of a Fire-Sensitive Conifer in a Frequently Burnt Northern Australia Savanna","ECOSYSTEMS",2016,"2015-2016","yes","no","LM and GLMs, LMMs","R",1,"1","2","2","yes","yes","https://link.springer.com/article/10.1007/s10021-016-9973-2","supplementary material","NA","yes","yes","yes","yes","yes","https://www.researchgate.net/publication/286935056_Callitris_intratropica_demography_Arnhem_Land","NA","MP, AB"
"Idiosyncratic responses of Amazonian birds to primary forest disturbance","OECOLOGIA",2016,"2015-2016","yes","no","Random forest","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","partially","yes","limited data in supplements (word docs) + from Fig","NA","MP, AB"
"Individual parameters shape foraging activity in breeding king penguins","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","LMMs, GLM, LM","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","limited data from Figs","NA","MP, AB"
"Individual variation in functional response parameters is explained by body size but not by behavioural types in a poeciliid fish","OECOLOGIA",2016,"2015-2016","yes","no","logistic polynomial regression, Random Predation model, nonlinear least square regression, parametric bootstrapping, PCA, Bartlett test, KMO test, LME, likelihood ratio tests, linear regression models","R",1,"1","4","3","no","no","NA","NA","NA","yes","yes","yes","no","no","limited data from Figs","NA","MP, AB"
"Information from familiar and related conspecifics affects foraging in a solitary wolf spider","OECOLOGIA",2016,"2015-2016","yes","no","t-test, REML, ANOVAs, Poisson regression, Tukey's HSD,","JMP",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Interactive effects of fire and large herbivores on web-building spiders","OECOLOGIA",2015,"2015-2016","yes","no","generalised multi-level path analysis, GLMM, LMM, canonical correspondence analysis, permutation test","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Interactive effects of understory removal and fertilization on soil respiration in subtropical Eucalyptus plantations","JOURNAL OF PLANT ECOLOGY",2015,"2015-2016","yes","no","ANOVAs, Mixed Models","SPSS",1,"1","NA","NA","no","no","NA","NA","NA","no","no","yes","no","no","limited data from Figs","NA","MP, AB"
"Interference competition: odours of an apex predator and conspecifics influence resource acquisition by red foxes","OECOLOGIA",2015,"2015-2016","yes","no","GLMM, Fishers LSD, LM,","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Is the positive relationship between species richness and shoot morphological plasticity mediated by ramet density or is there a direct link?","OECOLOGIA",2015,"2015-2016","yes","no","ANOVA, Mixed Models, mixed general linear model, a path analysis using maximum likelihood method","Statistica and SAS and R",3,"3","1","0","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","MP, AB"
"Land sparing is crucial for urban ecosystem services","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",2015,"2015-2016","yes","no","GLMs","R",1,"0","NA","NA","no","no","NA","NA","NA","yes","yes","yes","partially","yes","limited information on data in SI https://esajournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1890%2F140286&file=Gaston_WEB_ONLY.pdf","NA","MP, AB"
"Landscape Control on the Spatial and Temporal Variability of Chromophoric Dissolved Organic Matter and Dissolved Organic Carbon in Large African Rivers","ECOSYSTEMS",2015,"2015-2016","yes","no","Descriptive statistics, correlation analysis","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","SI https://link.springer.com/article/10.1007/s10021-015-9894-5","NA","MP, AB"
"Leaf-litter breakdown in streams of East Malaysia (Borneo) along an altitudinal gradient: initial nitrogen content of litter limits shredder feeding","FRESHWATER SCIENCE",2015,"2015-2016","yes","no","PCA, ANCOVA, Tukey’s post hoc","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AC, AB"
"Local controls on sediment accumulation and distribution in a fjord in the West Antarctic Peninsula: implications for palaeoenvironmental interpretations","POLAR RESEARCH",2016,"2015-2016","yes","no","NA","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","SI https://polarresearch.net/index.php/polar/article/view/3263","NA","MP, AB"
"Maintained functional diversity in benthic communities in spite of diverging functional identities","OIKOS",2016,"2015-2016","yes","no","Assessing fuctional diversity, linear mixed effect model, PERMANOVA, pair-wise tests","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","http://dx.doi.org/10.5061/dryad.6hc8q","NA","MP, AB"
