Coder initials:,id,Please flag any of the following issues that prevent you from coding this article:,What is the 2016 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?,How many times has the article been cited in a meta-analysis?,How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,eid,year,jnl,vol,iss,page,artno,title,doi,subjectArea,cites,abstract,journal,language,ASJC,KBclassification
TB/TH,FCreY,There are no issues,0.982,0.471,Thailand,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The authors wish to acknowledge the funding support of the Research Grant Council (RGC) of Hong Kong for its support through the General Research Fund (GRF 841512).",No - could not access article other than through paywall,84920538129,2015,Educ. Manage. Adm. Leadersh.,43,1,5,NA,"Review of research on educational leadership and management in Asia: A comparative analysis of research topics and methods, 1995–2012",10.1177/1741143214535744,Education,19,"¬© The Author(s) 2014.Over the past two decades scholars have called for a more concerted effort to develop an empirically grounded literature on educational leadership outside of mainstream ‚ÄúWestern‚Äù contexts. This paper reports the results of a review of research topics and methods that comprise the literature on educational leadership and management in Asia between 1995 and 2012. The review of research employed a quantitative descriptive form of systematic review of 478 articles published in eight ‚Äúcore‚Äù international journals in educational leadership and management over this period. The review examined trends in publication volume and impact, as well as research topics and methods used by scholars studying educational leadership and management in Asia. The study concluded that Asian scholarship in educational leadership and management remains in the early stages of development. Knowledge production is highly uneven across the continent, with only a few pockets of research excellence. Significant growth trends were observed in terms of scholarly interest in studying leadership in K-12 schools, school change, effects and improvement, and organizational behavior in education. Although qualitative research methods were more popular in this literature prior to 2006, the use of quantitative research methods has increased sharply during the past six years.",Educational Management Administration and Leadership,eng,BUS SOC,LightOrange
TB/TH,fHBZX,There are no issues,0.452,0.694,Italy,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a private organization,This study was supported in part by a grant named Bando 2012 of the Fondazione Cassa Di Risparmio Pistoia e Pescia,Yes - found article via other means,84927670003,2014,J. Genet. Psychol.,175,5,382,NA,Emotion perception accuracy and bias in face-to-face versus cyberbullying,10.1080/00221325.2014.934653,Developmental and Educational Psychology,5,"Copyright ¬© 2014 Taylor & Francis Group, LLC.The authors investigated the association of traditional and cyber forms of bullying and victimization with emotion perception accuracy and emotion perception bias. Four basic emotions were considered (i.e., happiness, sadness, anger, and fear); 526 middle school students (280 females; M age = 12.58 years, SD = 1.16 years) were recruited, and emotionality was controlled. Results indicated no significant findings for girls. Boys with higher levels of traditional bullying did not show any deficit in perception accuracy of emotions, but they were prone to identify happiness and fear in faces when a different emotion was expressed; in addition, male cyberbullying was related to greater accuracy in recognizing fear. In terms of the victims, cyber victims had a global problem in recognizing emotions and a specific problem in processing anger and fear. It was concluded that emotion perception accuracy and bias were associated with bullying and victimization for boys not only in traditional settings but also in the electronic ones. Implications of these findings for possible intervention are discussed.",Journal of Genetic Psychology,eng,PSY SOC,LightOrange
MK/TH,fIJdF,There are no issues,1.298,1.021,Romania,Human,Empirical data - case study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"This work was supported from the European Social Fund through Sectorial Operational Programme Human Resources Development 2007–2013, project number POSDRU/159/1.5/S/142115, project title “Performance and Excellence in Postdoctoral Research in Romanian Economics Science Domain.”",No - could not access article other than through paywall,84933522628,2015,Inf. Syst. Manage.,32,3,252,NA,The Impact of the Interaction between Context Variables and Enterprise Resource Planning Systems on Organizational Performance: A Case Study from a Transition Economy,10.1080/10580530.2015.1044347,Information Systems,3,"Copyright © Taylor & Francis Group, LLC. The authors investigated how enterprise resource planning systems are implemented and employed in a transition economy. Specifically, a longitudinal case study was conducted to investigate the fit between context variables that is, variables describing the organizational factors and the business environment, and the enterprise resource planning system, and the impact of this fit on organizational performance. It is shown how the case company’s enterprise resource planning system substitutes management techniques, facilitates strategy formulation, and implementation, thus significantly improving organizational performance.",Information Systems Management,eng,SOC,LightOrange
TB/TH,fKbJX,There are no issues,0.71,0.71,Czech Republic,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84975256609,2016,Prague Econ. Pap.,25,3,304,NA,Political business cycle in the Czech Republic: Case of municipalities,10.18267/j.pep.566,Finance,3,"¬© 2016, University of Economics - Prague. All rights reserved.The study analyses expenditures of all municipalities of the Czech Republic over the period 2003-2013. It aims to examine whether changes in municipal spending get affected by the electoral cycle. The analysis has proven that expenditures of municipalities of the Czech Republic are influenced by the political cycle. However, the political business cycle has at the level of municipalities (compared to the macroeconomic level) its peculiarities. These arise mainly from limited options of municipal politicians to use economic instruments to win electoral votes in elections. To receive electoral votes, municipal politicians use mainly public investments and projects that are at the level of municipalities so apparent that they may influence voters in their electoral decision-making. Prior to elections, expenditures on investments significantly increase for all municipal size groups. For municipal size groups of over 50,000 residents, however, they are (per capita) higher compared to smaller municipal size groups. This may be explained by the fact that these municipalities have higher disposable resources (higher per capita own budgetary revenues, higher potential to acquire resources to co-finance municipal projects and broader portfolio of debt financing). Expenditures on transfers do not significantly change prior to municipal elections. We interpret this finding in a way that politicians prefer such investment projects that are ‚Äúvisible‚Äù. Transfers are used to pay for certain current expenses for which municipalities may (in accordance with the established rules) apply through grants.",Prague Economic Papers,eng,ECON,LightOrange
TB/TH,Fmmua,There are no issues,1.592,1.592,South Africa,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the authors,No - there is no funding statement,none,No - could not access article other than through paywall,84974817775,2016,Distance Educ.,37,2,196,NA,The role of partnerships in academic capacity building in open and online distance education,10.1080/01587919.2016.1184399,Education,0,"¬© 2016 Open and Distance Learning Association of Australia, Inc.In many parts of the world online education is still taking shape and faces many obstacles, including insufficient numbers of professionals prepared to teach using new technologies. This paper is a case study of academic capacity building to determine how a partnership between the University of South Africa (Unisa) and the University of Maryland University College (UMUC) in the United States influenced teaching and learning. The study sample comprised 50 faculty members enrolled in a master‚Äôs degree. The study included an online questionnaire with open and closed-ended questions. The findings show that despite a number of difficulties, the international experience provided a unique opportunity for faculty members to gain knowledge and skills, while concurrently putting these into practice. The difficulties highlighted by participants serve as rich input to improve the support services, most prominently those that enhance learners‚Äô readiness and autonomy.",Distance Education,eng,SOC,LightOrange
JW/TH,FoVgu,There are no issues,NA,NA,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84978174720,2016,Law Crit.,27,3,269,NA,After the Critique of Rights: For a Radical Democratic Theory and Practice of Human Rights,10.1007/s10978-016-9189-9,Law,1,"© 2016, The Author(s).The critique of human rights has proliferated in critical legal thinking over recent years, making it clear that we can no longer uncritically approach human rights in their liberal form. In this article I assert that after the critique of rights one way human rights may be productively re-engaged in radical politics is by drawing from the radical democratic tradition. Radical democratic thought provides plausible resources to rework the shortcomings of liberal human rights, and allows human rights to be brought within the purview of a wider political project adopting a critical approach to current relations of power. Building upon previous re-engagements with rights using radical democratic thought, I return to the work of Ernesto Laclau and Chantal Mouffe to explore how human rights may be thought as an antagonistic hegemonic activity within a critical relation to power, a concept which is fundamentally futural, and may emerge as one site for work towards radical and plural democracy. I also assert, via Judith Butler’s model of cultural translation, that a radical democratic practice of human rights may be advanced which resonates with and builds upon already existing activism, thereby holding possibilities to persuade those who remain sceptical as to radical re-engagements with rights.",Law and Critique,eng,SOC,LightOrange
MK/TH,FOXGZ,There are no issues,1.725,1.25,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84960423962,2016,Int. J. Transitional Justice,10,1,146,ijv030,Reparations for 'guilty victims': Navigating complex identities of victim-perpetrators in reparation mechanisms,10.1093/ijtj/ijv030,Law,6,"© The Author (2015).Reparations are often declared victim-centred, but in transitional societies defining who is a victim and eligible for reparations can be politically charged and controversial. The messy reality of conflict means that perpetrators and victims do not always fall into two separate categories. In certain circumstances, perpetrators can be victimized and victims can be responsible for victimizing others - this article explores these complex victims. Looking in particular at the 1993 Shankill bombing in Northern Ireland, as well as at Colombia and Peru, such victims are often seen as 'guilty' or 'bad' victims undeserving of reparations. I argue that complex victims need to be included in reparation mechanisms to ensure accountability and to prevent their exclusion becoming a source of victimization and future violence. I consider the alternative avenues of human rights courts, development aid, services and community reparations to navigate complex identities of victim-perpetrators. I conclude that complex identities can be accommodated in transitional societies' reparation programmes through nuanced rules of eligibility and forms of reparations.",International Journal of Transitional Justice,eng,SOC,LightOrange
MK/TH,fuIuN,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84947059658,2015,Curr. Perspect. Soc. Theory,34,NA,191,NA,Contested landscapes: Collaborations between displaced communities and international advocacy groups in Guatemala,10.1108/S0278-120420150000034008,Sociology and Political Science,1,"© 2015 by Emerald Group Publishing Limited.Purpose: To assess how an indigenous community in Guatemala, displaced by a mining project, has collaborated with international human rights advocacy organizations to address chronic insecurity and vulnerability resulting from the violence of their displacement. Methodology/approach: The research for this case study was gathered using unstructured interviews with Lote Ocho community members and human rights advocates as well as textual analysis of social media documents, press releases, and reports. Participant observation was conducted during a community forum. Human rights theory, post-conflict theory, disaster theory, and narrative economy frameworks informed the research. Findings: As international human rights organizations collaborate with Lote Ocho to address the community's displacement, intensive focus on a lawsuit between the community and a Canadian mining corporation HudBay Minerals, Inc., contributes to homogenization of the community, reinforcement of destructive power relationships, and lack of focus on long-term security. Practical implications: Analysis of the potential harms of singular focus on legal action in the examined collaborations identifies areas for improvement for future collaborations in both Lote Ocho and other displaced communities. Originality/value: Caal v. HudBay is the first case of its kind. Thus, the analysis presented here provides critical insight for international and community actors regarding the successes and shortcomings of collaboration in cases of development-forced displacement, identifying areas for improvement for future collaborations with displaced communities.",Current Perspectives in Social Theory,eng,SOC,LightOrange
MK/TH,FYHsg,There are no issues,1.683,1.683,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from both public and private organizations,The authors acknowledge the support of the UNC Kenan- Flagler Business and Stanford Graduate School of Business for this research.,No - could not access article other than through paywall,84978173240,2016,Manuf. Serv. Oper. Manage.,18,3,414,NA,Allocating emissions among Co-Products: Implications for procurement and climate policy,10.1287/msom.2015.0572,Strategy and Management,4,"© 2016 INFORMS. Co-production (simultaneous production of multiple outputs) occurs in some emission-intensive basic material and agricultural industries. This paper is motivated by ones in which a supplier sells its primary product to a buyer that incurs an emissions cost (voluntarily, or due to government-imposed climate policy) and sells co-products into markets without emissions costs. Emission-accounting standards provide three candidate rules for allocating the supplier's emissions among its products. This paper shows that under the value-based allocation, imposing an emissions tax on the primary product can increase emissions, by motivating the supplier to lower the price and sell a larger quantity. In contrast, with the socially optimal choice of allocation rule characterized in this paper, imposing the emissions tax on the primary product can greatly reduce emissions and increase welfare. In the absence of climate policy, under value-based allocation, a buyer might achieve greater profit by paying to offset its supply chain emissions. That can motivate supplier innovation to reduce its production cost. In numerical examples, considering the rare earth cerium oxide (co-produced with iron) and palm oil (co-produced with palm meal), the choice of allocation rule has a large impact on emissions, a buyer's profit, and social welfare.",Manufacturing and Service Operations Management,eng,BUS,LightOrange
SC/TH,FYQou,There are no issues,NA,NA,United States of America,Human,Empirical data - laboratory study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,Part of this research was supported by a grant (PSCOOC-37-111) from The City University of New York PSC-CUNY Research Award Program,No - could not access article other than through paywall,85006288711,2016,Leadersh. Q.,27,6,869,NA,Leader opportunity versus threat verbal framing and nonverbal emotional expressions impact followers' creative performance,10.1016/j.leaqua.2016.06.001,Business and International Management,0,"¬© 2016 Elsevier Inc. A core function of leadership is to motivate followers, yet little research describes mechanisms by which leaders impact their followers' motivation. The purpose of this paper is to present and test a novel theory of leaders' influence on follower creative performance based on approach-avoidance motivation theory (Carver & Scheier, 1998) and self-regulatory focus theory (Higgins, 2000). Two forms of leader approach-avoidance communication behavior, verbal framing and nonverbal emotional displays, are hypothesized to impact follower creative performance. Two experimental studies provide support for the theoretical model using distinct leadership stimuli and creative performance tasks.",Leadership Quarterly,eng,BUS PSY SOC,LightOrange
MK/TH,gavsn,There are no issues,1.414,1.019,Spain,Human,Empirical data - survey,0,0,1,0,0,Yes - the statement says that the materials (or some of the materials) are available,"Detailed information on the methodology used in the design, validation and implementation procedures of the ENEIDA survey can be found in Moreno et al. (2011, 2012).",another paper,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,This study is part of a project financed by the Ministry of Science and Innovation (Ref.: FFI2009-08336/FILO),No - could not access article other than through paywall,84894150974,2014,J. Engl. Acad. Purp.,14,NA,72,NA,Affordances and constraints on research publication: A comparative study of the language choices of Spanish historians and psychologists,10.1016/j.jeap.2014.01.001,Education,10,"Research publication in the international arena, is crucial for multilingual scholars in most disciplinary areas. For many, among them Spanish scholars, it still represents a considerable hurdle. The findings we report here are part of a wider research project involving a large online survey of scholars at five universities and research institutions in Spain. We aimed to identify the needs of Spanish researchers in terms of research publishing skills in both English and Spanish, learn about their attitudes, motivations and experiences of research publication and of writing training. The present paper compares the results for scholars in History and Psychology. Through analysis of quantitative and comment data, we show how the motivations of these scholars with regard to research publication in the two languages work together with the strategies and resources available to them to determine language selection. We also review their experience of training in research writing and their willingness to pursue further training. Although the two groups of scholars differ in terms of attitudes to publication in English, they share a willingness to negotiate the challenges presented by institutional constraints, making strategic decisions about the choice of language in which to publish and their own language development. © 2014 Elsevier Ltd.",Journal of English for Academic Purposes,eng,AH SOC,LightOrange
TB/TH,GGDCb,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85009355239,2017,First Monday,22,1,NA,NA,"""This FEELS SO REAL!"" Sense and sexuality in ASMR videos",10.5210/fm.v22i1.7282,Human-Computer Interaction,0,"This paper explores the intimate performances in ""personal attention"" ASMR YouTube videos. ASMR - which stands for Autonomous Sensory Meridian Response - is a term coined by the community of Internet users who experience a particular tingling sensation in response to certain auditory, visual, or haptic stimuli. The sensation often originates in the scalp and travels down the spine and is reported to be immensely pleasurable, as well as relaxing. ""ASMRtists"" now flood YouTube with a steady stream of high definition videos designed to trigger this sensation for viewer-listeners, often through role-play scenarios that incorporate genre-specific techniques to simulate a personalized, intimate, and sensual encounter with the ASMRtist. This essay draws on affect and performance studies to conduct an analysis of these YouTube videos - using specific examples from the ASMRtist Olivia Kissper as case studies - in order to explore how media infrastructures produce the incarnation of sexuality through the process of mediated intimacy. Ultimately, it works towards a radical redefinition of sexuality that is more centered on affect than on bodily gestures, and suggests that through this lens the consumption of ASMR videos can be seen as a sexual practice and the configuration of ASMRtist, viewer-listener, and digital technology can be seen as a sexual relation.",First Monday,eng,SOC,LightOrange
JW/TH,gGFDL,There are no issues,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the author.,No - there is no funding statement,none,No - could not access article other than through paywall,85009252199,2017,Contemp. Secur. Policy,38,1,26,NA,Security assurances and proliferation risks in the Trump administration,10.1080/13523260.2016.1271688,Political Science and International Relations,2,"© 2017 Informa UK Limited, trading as Taylor & Francis Group. Comments that Donald Trump made while campaigning to be U.S. president have raised concerns that his administration will pull back from U.S. alliance commitments and encourage countries such as Japan and South Korea to acquire nuclear arms. The new article by Frühling and O’Neil outlines an institutional framework that can be helpful in assessing the risks that Trump administration policies will lead to nuclear proliferation. An institutional perspective shows that important elements of U.S. security assurances will continue to function, and this reduces the chances that President Trump’s actions or statements will trigger proliferation by U.S. allies. The greatest risk to global non-proliferation efforts posed by a Trump administration in fact lies elsewhere, in the possibility that President Trump will seek to abrogate the Iran nuclear deal.",Contemporary Security Policy,eng,SOC,LightOrange
SC/TH,GlcfG,There are no issues,2.675,2.09,France,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84921867144,2015,J. Transp. Geogr.,43,NA,28,NA,Socio-occupational and geographical determinants of the frequency of long-distance business travel in France,10.1016/j.jtrangeo.2015.01.004,"Geography, Planning and Development",6,"¬© 2015. Business travel, and long-distance business travel in particular, has received much less attention in research than home-to-work travel. This article explores some determinants of the frequency of long-distance business travel. It focuses on the influence of two parameters that have been little studied: the individual's socio-occupational group and the workplace location. The data used were provided by the 2008 French National Transport and Travel Survey. Following a review of the literature, a Poisson regression is performed on the frequency of long-distance business trips. The most significant determinants are socio-occupational category, income, gender and the urban or rural nature and size in terms of the number of inhabitants of the area of location. In particular long-distance business trip frequency is lower in the Paris urban area than in all the categories of urban areas as well as rural areas because of the highly centralised organisation of economic activity and the transport network in France.",Journal of Transport Geography,eng,SOC,LightOrange
MK/TH,GlqeU,There are no issues,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84953869241,2015,Int. Spect.,50,1,31,NA,Justice and climate finance : Differentiating responsibility in the Green Climate Fund,10.1080/03932729.2015.985523,Political Science and International Relations,1,"© 2015 Istituto Affari Internazionali.Institutional mechanisms for administering international climate finance constitute key components of an effect global climate regime, and the Green Climate Fund represents what promises to become the most important such mechanism. As the Fund begins to serve its function of transfer-ring economic resources from developed to developing countries to support mitigation and adaptation activities, it faces several obstacles. Since contributions to the Fund by states or private parties are voluntary, they are not necessarily based on the UN Framework Convention on Climate Change’s “common but differentiated responsibilities” principle. Its governing instrument also departs from UNFCCC principles. In addition, the Fund faces a significant ambition gap in pledges to fund its operations. By instantiating several informal means of applying climate justice norms to assessments of national contributions to climate finance, some of this resistance might be overcome, increasing support for the Fund and, with this, increasing prospects for reaching consensus on a new climate treaty architecture at COP 21.",International Spectator,eng,SOC,LightOrange
JW/TH,gSBZP,There are no issues,1.197,1.218,Switzerland,Human,Empirical data - multiple study types are reported,0,0,1,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,"This research was supported by a grant from the Swiss National Science Foundation (SNSF) to Alois Niggli (Nr. 13DPD3-114174) and a grant from the Ministry of Science, Research, and the Arts Baden-Württemberg to Ulrich Trautwein.",Yes - found via Open Access Button,84939472625,2015,J. Educ. Res.,108,5,417,NA,The Need to Distinguish between Quantity and Quality in Research on Parental Involvement: The Example of Parental Help with Homework,10.1080/00220671.2014.901283,Education,6,"Copyright © Taylor & Francis Group, LLC.Parental involvement research has greatly expanded over the past decade, but findings are mixed, reflecting in part the conceptual and methodological limitations of many studies. On the basis of longitudinal questionnaire data from 1,685 sixth-grade students, the authors studied parental help with homework because it is the most common and most controversial type of parental involvement. Distinguishing between the quantity and quality of parental homework involvement, the research shows that completely different conclusions about the effectiveness of parental homework involvement will be reached if its quantity is assessed instead of its quality: How often parents helped with homework was negatively associated with the development of achievement, whereas homework help that was perceived as supportive had positive predictive effects, and homework help perceived as intrusive had negative effects. Moreover, the results show that effect sizes would be overestimated if students' prior achievement and family background were not controlled. © 2015",Journal of Educational Research,eng,SOC,LightOrange
SC/TH,gUDsU,There are no issues,NA,NA,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84948798212,2016,Corp. Gov.,24,3,334,NA,Corporate Governance and Bank Risk-taking,10.1111/corg.12133,"Business, Management and Accounting (all)",6,"¬© 2016 John Wiley & Sons Ltd.Manuscript type: Review Research Question/Issue: Bank governance has become the focus of a flurry of recent research and heated policy debates. However, the literature presents seemingly conflicting evidence on the implications of governance for bank risk-taking. The purpose of this paper is to review prior work and propose directions for future research on the role of governance on bank stability. Research Findings/Insights: We highlight a number of key governance devices and how these shape bank risk-taking: the effectiveness of bank boards, the structure of CEO compensation, and the risk management systems and practices employed by banks. Theoretical/Academic Implications: Prior work primarily views bank governance as a mechanism to protect the interests of bank shareholders only. However, given that taxpayer-funded guarantees protect a substantial share of banks' liabilities and that banks are highly leveraged, shareholder-focused governance may well subordinate the interests of other stakeholders and exacerbate risk-taking concerns in the banking industry. Our review highlights the need for internal governance mechanisms to mitigate such behavior by reflecting the needs of shareholders, creditors, and the taxpayer. Practitioner/Policy Implications: Our review argues that the relationship between governance and risk is central from a financial stability perspective. Future research on issues highlighted in the review offer a footing for reforming bank governance to constrain potentially undesirable risk-taking by banks.",Corporate Governance (Oxford),eng,BUS,LightOrange
TB/TH,gVtFy,There are no issues,1.883,2.325,United States of America,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to
the research, authorship, and/or publication of this article.",Yes - the statement says that no funding was provided,"""The author(s) received no financial support for the research, authorship,
and/or publication of this article.""",Yes - found article via other means,84919430585,2015,Soc. Psychol. Pers. Sci,6,1,3,NA,Promotion- and Prevention-Focused Networking and Its Consequences for Entrepreneurial Success,10.1177/1948550614543030,Social Psychology,5,"¬© The Author(s) 2014.Building and using social networks is an important factor in individuals‚Äô personal as well as professional success. In the present work, we examine how individuals‚Äô regulatory focus relates to their networking behavior. Findings from a sample of 300 entrepreneurs across 25 networking groups showed that a general focus on motivations for growth and advancement (promotion) predicted an increase in out-degree centrality (i.e., how much weekly, business-related contact entrepreneurs had with members in their own networking group), whereas a general focus on motivations for safety and security (prevention) predicted a decrease in out-degree centrality. Moreover, greater out-degree centrality further predicted an increase in the revenue entrepreneurs generated from members in their networking group. These findings demonstrate how individual differences affect personal motivations for how entrepreneurs‚Äô develop and use their business networks and highlight the importance of motivations for growth and security in relationship formation and maintenance more generally.",Social Psychological and Personality Science,eng,PSY,LightOrange
