Timestamp,Coder initials:,Article ID:,Please flag any of the following issues that prevent you from coding this article:,How many times has the article been cited in a meta-analysis?,"How many times was the article cited *incidentally* in a meta-analysis (i.e., no intention to include in data synthesis)?",How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,"How many times was the article cited *incidentally* in a systematic review (i.e., no intention to include in formal review)?",How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",conflictType,Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,What is the 2017 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?
10/15/18,RT/TH,EcnTV,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,Canada,Human,Empirical data - survey/interview
10/15/18,RT/TH,nNYXD,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,1.395,1.427,Portugal,Human,Empirical data - field study
10/15/18,RT/TH,MzbNa,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that there was funding from a public organization(s),"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This study was supported by the Illinois State University New Faculty Initiative Grant awarded to the first author.",Yes - found article via other means,1.348,1.348,United States of America,Human,Empirical data - survey/interview
10/15/18,RT/TH,CywSU,There are no issues,1,0,0,1,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,Yes - the statement says that there was a pre-registration,"Trial Registration:
EUDRA-CT 2009-015115-40",EUDRA-CT,No,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,None of the authors has any conflict of interest to disclose,NA,Yes - the statement says that there was funding from a public organization(s),"This is an investigator-initiated clinical trial. The study medication was provided at no cost by sigma-tau spa (Italy). M.Z. was supported  by  a  scholarship  of  the  German  National  Merit Foundation. This research received no other specific grant from any funding agency in the public, commercial, or not-for-profit sectors.",No - could not access article other than through paywall,3.81,3.636,Germany,Human,Empirical data - clinical trial
10/15/18,RT/TH,tHfdJ,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,Australia,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/15/18,RT/TH,MAcWC,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,The authors declare that they have no conflict of interest.,NA,Yes - the statement says that there was funding from a public organization(s),This work was supported by a Mentored Career Award Grant 1K23MH093618-01A1 from the National Institute of Mental Health.,Yes - found via Open Access Button,3.6,3.146,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/15/18,RT/TH,FMKhm,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors have declared that no competing interests exist.,NA,Yes - the statement says that no funding was provided,The authors have no funding to report.,Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - survey/interview
10/15/18,RT/TH,iCSqz,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,2.089,2.089,The Netherlands,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/15/18,RT/TH,SFzWF,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,NA,No - there is no funding statement,none,Yes - found via Open Access Button,3.138,3.27,Germany,Human,Empirical data - laboratory study
10/15/18,RT/TH,KuEds,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,All authors confirm that they have no conflicts of interest to report,NA,Yes - the statement says that there was funding from a public organization(s),"This work was supported by the Public Health Agency of Canada [contract # 4500310088]. JPH is also the Ontario Home Care Research and Knowledge Exchange Chair, supported by the Ontario Ministry of Health and Long-Term Care.",Yes - found article via other means,1.994,1.902,Canada,Human,Empirical data - commentary including analysis
10/21/18,RT/TH,ucuKc,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The authors received financial support from Grant R324A090012 from the U.S. Department of Education, Institute of Education Sciences, to Laura M. Justice, Principal Investigator.There are no nonfinancial relationships to disclose.",NA,Yes - the statement says that there was funding from a public organization(s),"The authors received financial support from Grant R324A090012 from the U.S. Department of Education, Institute of Education Sciences, to Laura M. Justice, Principal Investigator.There are no nonfinancial relationships to disclose.",Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - multiple study types are reported
10/22/18,RT/TH,xOYcP,There are no issues,2,2,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,Supplemental materials: http://dx.doi.org/10.1037/a0036035.supp,Supplementary information hosted by the journal,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,No - could not access article other than through paywall,NA,NA,Germany,Human,Empirical data - field study
10/21/18,RT/TH,hkNiS,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United States of America,Neither,Empirical data - commentary including analysis
10/22/18,RT/TH,snvlH,There are no issues,0,0,0,1,0,0,0,No - there is no materials availability statement,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),The author gratefully acknowledges funding from the National Science Council of Taiwan (NSC-99-2410-H-006-042).,No - could not access article other than through paywall,NA,NA,Taiwan,Neither,Empirical data - field study
10/21/18,RT/TH,aFrFN,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,The measure consisted of 10 multiple-choice and short-answer questions based on the simulation events in the second performance scenario (see the appendix).,Appendix within the present article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"The research presented in this article was supported from the Office of Naval Research (Grant No. N000140810887). The opinions expressed in this article are those of the authors only and do not necessarily represent the official position of the Office of Naval Research, the U.S. Navy, the US Department of Defense, or the Pennsylvania State University.",Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - laboratory study
10/21/18,RT/TH,TIhpa,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,NA,Yes - the statement says that there was funding from a public organization(s),"This work was supported by Beijing Municipal Science and Technology Commission (Z161100002616016), the “973” National Basic Research Program of China (2015CB351800) and “985” grants from Peking University, the National Natural Science Foundation of China (31470987 and 81571275), Scientific Research Common Program of Beijing Commission of Education (KM201410025027), the China Postdoctoral Science Foundation (2016M601066), the Capital Health Research and Development of Special (2016-1-8012), Beijing Municipal Science and Technology Commission (Z131107002213171, Z161100000516230, and Z161100000116085), and Beijing Nova Program (Z141107001814042).",Yes - found via Open Access Button,NA,NA,China,Human,Empirical data - laboratory study
10/21/18,RT/TH,VaWiV,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spain,Human,Empirical data - field study
10/22/18,RT/TH,vYliB,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This research was funded by the Department of Defense, Congressionally Directed Medical Research Program under designations W81XWH-08-2-0100, W81XWH-12-2-0121, and W81XWH-12-2-0117 and conducted at the National Center for PTSD, VA Boston Healthcare System in Boston, MA.",No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - survey/interview
10/21/18,RT/TH,sJjsJ,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The authors declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that no funding was provided,"The authors received no financial support for the research, authorship, and/or publication of this article.",Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - case study
10/22/18,RT/TH,UqQkq,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - survey/interview
10/21/18,RT/TH,XaxKr,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,There is no conflict of interest for the authors.,NA,Yes - the statement says that there was funding from a public organization(s),NC also thanks the China Scholarship Council (CSC) for financial support.,Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - survey/interview
10/21/18,RT/TH,posTo,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source of data provided but no explicit availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - commentary including analysis
10/21/18,RT/TH,thAkK,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a private organization(s),Data collection and transcriptions of the interviews was made possible through a grant from the Searle Fund.,Yes - found article via other means,NA,NA,United States of America,Human,Empirical data - survey/interview
10/22/18,RT/TH,NMvHm,There are no issues,0,0,0,0,0,0,0,Source of materials provided but no explicit availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This study was supported by a grant of the Russian Foundation for
Basic Research (RFBR), research project no. 14-06-00039 and the
Russian Scientific Foundation (RSCF), research project no. 14-15-00202.",No - could not access article other than through paywall,NA,NA,Russia,Human,Empirical data - laboratory study
10/21/18,RT/TH,UDnnX,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/21/18,RT/TH,Kdkkq,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Neither,Empirical data - field study
10/21/18,RT/TH,sCWZh,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,No - could not access article other than through paywall,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/21/18,RT/TH,BsCjr,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,"Respondents were introduced to a bio-based Coke bottle (i.e., a picture with short explanation; see Appendix A),",Appendix within the present article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),The research reported is funded by the European Commission via the Seventh Framework Programme (FP7/2007–2013) under grant agreement n° KBBE/FP7EN/613677.,No - could not access article other than through paywall,NA,NA,The Netherlands,Human,Empirical data - survey/interview
10/21/18,RT/TH,duZVA,There are no issues,3,3,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement identifies funding sources but the private/public status is unclear,This research was supported by the UAB Department of Psychology funds to R.K.,No - could not access article other than through paywall,NA,NA,United States of America,Human,Empirical data - laboratory study
10/21/18,RT/TH,vHoTq,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),This work was supported by award RC1MH088542-02 from the National Institute of Mental Health.,Yes - found via Open Access Button,NA,NA,United States of America,Human,Empirical data - clinical trial
11/5/18,RT/TH,nGrio,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This work was supported by the FP7 Marie Curie grant (PCIG10-GA-2011-304255). Th e author acknowledges additional support from the Polish National Science Centre (2011/03/D/HS6/05655, 2012/07/B/HS6/01464), and the Ministry of Science and Higher Education (IP2012 061072)",Yes - found via Open Access Button,NA,NA,Poland,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
11/5/18,RT/TH,UoXIy,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors report no financial conflicts of interest.,NA,Yes - the statement says that there was funding from both public and private organizations,"FEM-PrEP was conducted under two Grants funded by the U.S. Agency for International Development (USAID): the Contraceptive and Reproductive Health Technologies and Research Utilization Program and the Preventive Technologies Agreement No. GHO-A-00-09-00016-00. Early support was also provided by the Bill & Melinda Gates Foundation. Gilead Sciences, Inc. donated FTC/TDF and placebo. The drug concentration analyses were performed using equipment provided by the University of North Carolina at Chapel Hill Center for AIDS Research (CFAR), an NIH funded program P30 AI50410.",Yes - found via Open Access Button,NA,NA,Kenya,Human,Empirical data - survey/interview
