ID;Publication.Year;Author;Title;Abstract.Note;Publication.Title;DOI;Language;FirstA_continent;Access;Preprint;PreRegistered;OpenMaterial;OM_scale;OM_script;OM_other;OpenData;Source_OM
41;2015;"Ellis, T.E.; Rufino, K.A.";A psychometric study of the suicide cognitions scale with psychiatric inpatients;"The cognitive model of suicide makes specific predictions about the role of cognition in suicide risk. This study examined psychometric properties of the Suicide Cognitions Scale (SCS), an instrument designed to measure suicide-specific cognitions, in a sample of 150 patients (age range, 18-75 years, SD = 14.42; 56% female, 94% White) hospitalized for suicide risk associated with multiple, treatment-resistant psychiatric conditions. Findings revealed strong psychometric properties, including internal consistency and test-retest reliability. Incremental validity beyond depression and hopelessness was demonstrated in the prediction of suicidal ideation. Confirmatory factor analysis examining previously reported factor solutions suggested more consistency with a three-factor solution (Unlovability, Unbearability, and Unsolvability) relative to a two-factor solution. Good sensitivity to treatment response over the course of hospitalization also was demonstrated. The hypothesis of residual risk, derived from cognitive theory and predicting that lack of change in suicide schemas would be associated with higher suicide risk at discharge, was supported. Overall, these findings suggest considerable promise for the SCS as a measure of suicide risk that adds predictive utility to measures of depression and hopelessness, with potential usefulness in planning and monitoring treatment for suicidal individuals. © 2014 American Psychological Association.";Psychological Assessment;10.1037/pas0000028;English;1;1;0;0;0;;;;0;
26;2015;"Esfahani, M.; Hashemi, Y.; Alavi, K.";Psychometric assessment of beck scale for suicidal ideation (BSSI) in general population in Tehran;Background: Beck Scale for Suicidal Ideation (BSSI) is a widely used instrument to assess suicidality. However, there is only limited information about the psychometric characteristics of BSSI in the Persian language. In this study, we investigated the validity, reliability and factor structure of the BSSI in the general population of Tehran. Methods: Initially, 900 questionnaire packages were distributed to the general population of Tehran (response rate: 59 percent), using cluster random sampling method. The questionnaire package consisted of a demographic questionnaire, the Persian translation of the BSSI, Symptom checklist-90- Revised (SCL-90-R), Beck Hopelessness Inventory (BHI) and Philips Social Support Appraisal Scale. Internal consistency and correlations of the BSSI scores with other constructs were investigated. Factor analysis was done using principal component method. Results: The Cronbach's alpha coefficients of the screening part and the whole scale were satisfactory (>0.8). The scores of both the screening part and the total scale in individuals who experienced suicidal attempt were higher than others. Both the screening part and the total scale had a positive correlation with depression and Global Severity Index in SCL-90-R, and a negative correlation with social support. The scores of the screening part had a positive correlation with anxiety, psychoticism, hostility and hopelessness as well. The screening part consisted of a single factor which explains 60% of the total variance. Conclusion: The Persian translation of the BSSI has desirable psychometric properties in research setting. However, the clinical usage of the scale remains to be explored, and the factor structure of the whole questionnaire should be assessed in a clinical sample.;Medical Journal of the Islamic Republic of Iran;;English;4;2;;0;0;;;;0;
32;2019;"Ferrara, P.; Terzoni, S.; D’Agostino, A.; Cutcliffe, J.R.; Falen, Y.P.; Corigliano, S.E.; Bonetti, L.; Destrebecq, A.; Gambini, O.";Psychometric properties of the Italian version of the Nurses’ Global Assessment of Suicide Risk (NGASR) scale;Aim. People with mental disorders have higher risk of suicide compared to the general population. Assessment of risk factors can help nurses reducing suicidal risk. The Nurses’ Global Assessment of Suicide Risk scale (NGASR) has proven valid and reliable in supporting the nursing evaluation of suicidal risk in different studies. The aim of the study was to examine the psychometric properties of the NGASR in the Italian population. Methods. We translated the scale and administered it to a sample of 121 patients admitted to acute psychiatric wards. Results. The Content Validity Index-Scale (CVI-S) was 96.7%, the correlation with the Scale for Suicide Ideation (SSI) score was high (r=.98, p<.001). Inter-rater reliability (rho=.97, p<.001), and test-retest stability (p=.96) were satisfactory. Factor analysis pointed out 5 factors and the 15 items of the NGASR-ita explained 61.29% of total variance. Of the 121 subjects assessed upon admission, 25.62% had average or higher suicidal risk. Discussion and conclusions. The use of valid screening tools in support of Suicide risk assessment is recommended. The NGASR-ita is a valid and reliable tool, suitable for nursing assessment of suicidal risk in the acute psychiatric setting. © 2019 Il Pensiero Scientifico Editore s.r.l. All Rights Reserved.;Rivista di Psichiatria;10.1708/3104.30938;English;3;2;;0;0;;;;0;
25;2022;"Fitriana, E.; Purba, F.D.; Salsabila, S.P.; Danasasmita, F.S.; Afriandi, I.; Tarigan, R.; Ichsan, A.; Pandia, V.";Psychometric Properties of the Suicidal Ideation Scale in the Indonesian Language;Introduction: Suicide is one of the leading cause of mortality among adolescents and young adults, especially in low to middle-income countries. Research found that screening for suicidal ideation in non-clinical populations such as schools or communities is an important step toward preventing suicide. Despite so, not all screening tools have the capabilities to accurately detect suicidal ideation among adolescents and young adults in non-clinical populations. The Suicidal Ideation Scale (SIS) is one of the most used questionnaires to measure suicidal thoughts in non-clinical populations. This study aims to investigate the psychometric properties of SIS among adolescents and young adults in Indonesia, especially in non-clinical populations. Methods: After a series of language and cultural adaptations, 1254 senior high school and university students completed the Indonesian version of SIS using 3 standard questionnaires, namely Patient Health Questionnaire-9/PHQ-9, Beck Depression Inventory-II/BDI-II, and Children’s Depression Inventory/CDI. The SIS content validity, internal consistency, test-retest reliability and concurrent, as well as internal structure validity, were investigated using content validity index (CVI), Cronbach’s Alpha, Pearson product-moment correlation, and confirmatory factor analysis (CFA), respectively. Results: The result showed that SIS has good to excellent internal consistency and test-retest reliability. Based on the validity indicators, it has satisfactory content and convergent validity, and further support the one-factor and 2-factor model for factorial validity. Both one-factor and 2 factor model are suitable to use in non-clinical settings. Conclusions: SIS is a valid and reliable tool for suicide ideation screening in adolescents and young adults in non-clinical populations. This validated questionnaire can be used in the early detection of suicidal ideation among adolescents and young adults in non-clinical populations, thus contributing to developing strategies and policies to prevent suicide among Indonesian adolescents and young adults at group and institutional levels. © The Author(s) 2022.;Journal of Primary Care and Community Health;10.1177/21501319221143716;English;4;2;;0;0;;;;0;
47;2016;"Flamarique, I.; Santosh, P.; Zuddas, A.; Arango, C.; Purper-Ouakil, D.; Hoekstra, P.J.; Coghill, D.; Schulze, U.; Dittmann, R.W.; Buitelaar, J.K.; Lievesley, K.; Frongia, R.; Llorente, C.; Méndez, I.; Sala, R.; Fiori, F.; Castro-Fornieles, J.";Development and psychometric properties of the Suicidality: Treatment Occurring in Paediatrics (STOP) Suicidality Assessment Scale (STOP-SAS) in children and adolescents;Background: To create a self-reported, internet-based questionnaire for the assessment of suicide risk in children and adolescents. Methods: As part of the EU project 'Suicidality: Treatment Occurring in Paediatrics' (STOP project), we developed web-based Patient Reported Outcome Measures (PROMs) for children and adolescents and for proxy reports by parents and clinicians in order to assess suicidality. Based on a literature review, expert panels and focus groups of patients, we developed the items of the STOP Suicidality Assessment Scale (STOP-SAS) in Spanish and English, translated it into four more languages, and optimized it for web-based presentation using the HealthTrackerTM platform. Of the total 19 questions developed for the STOP-SAS, four questions that assess low-level suicidality were identified as screening questions (three of them for use with children, and all four for use with adolescents, parents and clinicians). A total of 395 adolescents, 110 children, 637 parents and 716 clinicians completed the questionnaire using the HealthTrackerTM, allowing us to evaluate the internal consistency and convergent validity of the STOP-SAS with the clinician-rated Columbia Suicide Severity Rating Scale (C-SSRS). Validity was also assessed with the receiver operating characteristic (ROC) area of the STOP-SAS with the C-SSRS. Results: The STOP-SAS comprises 19 items in its adolescent, parent, and clinician versions, and 14 items in its children's version. Good internal consistency was found for adolescents (Cronbach's alpha: 0.965), children (Cronbach's alpha: 0.922), parents (Cronbach's alpha: 0.951) and clinicians (Cronbach's alpha: 0.955) versions. A strong correlation was found between the STOP-SAS and the C-SSRS for adolescents (r:0.670), parents (r:0.548), clinicians (r:0.863) and children (r:0.654). The ROC area was good for clinicians' (0.917), adolescents' (0.834) and parents' (0.756) versions but only fair (0.683) for children's version. Conclusions: The STOP-SAS is a comprehensive, web-based PROM developed on the HealthTrackerTM platform, and co-designed for use by adolescents, children, parents and clinicians. It allows the evaluation of aspects of suicidality and shows good reliability and validity. © 2016 The Author(s).;BMC Pediatrics;10.1186/s12887-016-0751-2;English;3;2;;0;0;;;;0;
142;2012;"Fountoulakis, K.N.; Pantoula, E.; Siamouli, M.; Moutou, K.; Gonda, X.; Rihmer, Z.; Iacovides, A.; Akiskal, H.";Development of the Risk Assessment Suicidality Scale (RASS): A population-based study;Background: Suicide and suicide attempts are significant and costly public health problems. In order to prevent suicidal and other self-injurious behaviors, research on the multiple factors involved in these behaviors with comprehensive and user-friendly instruments is necessary. The aim of the current study was to construct a self-report instrument with emphasis on items describing suicide-related behavior itself rather than strongly related clinical features on the basis of a general population study. Methods: Twelve items comprising a new scale were applied to 734 subjects from the general population (40.6% males and 59.4% females) aged 40.8 ± 11.5 along with the STAI and the CES-D. Results: The scoring method was developed on the basis of frequency table of responses to the individual scale items. The factor analysis returned 3 factors explaining 59.19% of total variance (Intention, Life, and History). The Cronbach's alpha was 0.85 for the Intention, 0.69 for the Life and 0.52 for the History subscale. Limitation: The findings need replication in clinical and epidemiologic studies. Conclusion: The RASS is a reliable and valid instrument which might prove valuable in the assessment of suicidal risk in the general population as well as in mental patients. © 2012 Elsevier B.V. All rights reserved.;Journal of Affective Disorders;10.1016/j.jad.2011.12.045;English;3;1;0;0;1;1;0;0;0;in the manuscript/SM
3;2018;"Frey, L.M.; Higgins, G.E.; Fulginiti, A.";Testing the psychometric properties of the self-harm and suicide disclosure scale;Suicide-related disclosure is an important component of identifying individuals at risk for suicide. However, no standardized measures exist to assess the degree to which individuals have disclosed suicide-related experiences. Therefore, the present study tested the psychometric properties of the Self-Harm and Suicide Disclosure Scale. A sample of 142 individuals, predominantly female and Caucasian, with ages ranging from 18–77 who had experienced suicidal ideation or behavior in their lifetime completed online surveys. A Rasch model analysis was used to test the item and individual separation and reliability and model fit of the instrument's use for disclosure to both family and nonfamily members. Analyses indicated strong item separation and reliability. Items were removed to improve model fit, resulting in two revised instruments. Findings indicate the Revised Suicide and Self-Harm Disclosure Scales are appropriate measures for assessing the depth of suicide-related disclosure. Future studies should attempt to replicate these findings with a more diverse sample. © 2018 Elsevier B.V.;Psychiatry Research;10.1016/j.psychres.2018.09.016;English;1;1;0;0;1;1;0;1;0;in the manuscript/SM
28;2021;"Galarza, A.; Fernández-Liporace, M.; Castañeiras, C.; Freiberg-Hoffmann, A.";Design and psychometric analysis of a suicide risk scale for Argentinean adolescents and young people;Suicidal behavior in adolescents and youth has become a public health issue which requires improving the available scales in order to enable the early detection of risk cases. Therefore, for this purpose, this study presents the design and psychometric analysis of the Argentinean Scale of Suicidality for Adolescents (EASA-I by its Spanish acronym) Screening. It measures a specific dimension of suicidal ideation and five risk factors: Low self-esteem, negative perspective of the future, low emotion regulation, difficulties in problem-solving and lack of social support. This study was aimed at analyzing content construct and face validity, as well as convergent and discriminant validity evidence with external measures. Internal consistency of the scores was also examined. The sample was composed of 291 adolescents and young adults. Results suggest that the EASA-I constitutes a short and simple scale with adequate psychometric properties suitable to be used in different areas of application and research. © 2021 Asoc. Espanola de Psicologia Clinica y Psicopatologia. All rights reserved.;Revista de Psicopatologia y Psicologia Clinica;10.5944/rppc.28625;English;2;2;;0;1;1;0;0;0;in the manuscript/SM
17;2022;"Garakani, A.; Buono, F.D.; Larkin, K.; Polonsky, M.; Goldberg, J.F.";Development and validation of a new scale to measure chronic suicidal ideation: The Chronic Suicidal Ideation Inventory-5 (CSI-5);Objective: Little is known about characteristics that differentiate acute from chronic suicidal ideation. Studies have been hampered by the lack of a formal operational definition or measurement tool for chronic suicidal ideation (CSI). We sought to adapt a standardized measure of obsessive-compulsive thinking to rate chronic suicidal ideation in a mood disorder inpatient cohort. Method: We devised a novel self-report instrument, based on constructs related to obsessive-compulsive thinking and the Yale-Brown Obsessive-Compulsive Scale (Y-BOCS), as applied to preoccupations with suicidal thoughts and their persistence over 24 months in a previously described cohort of 97 inpatients with mood disorder. Exploratory factor analysis and principal components analysis were used to establish the factor structure of the instrument, and Cronbach's alpha and McDonald's omega were calculated to determine internal consistency of the scale. Results: Significant Pearson correlations with individual scale items and total CSI-5 scores were evident in relation to the 2-, 6-, 12- and 24-month periods preceding the index hospitalization. A one-factor solution explained 75% of the variance in total CSI-5 scores. Cronbach's alpha was 0.914, and McDonalds's omega was 0.916. CSI-5 scores were not significantly associated with current depression severity scores or actual past suicide attempts. Conclusions: This 5-item adaptation of Y-BOCS-type questions provides an internally consistent and reliable assessment of chronic suicidal ideation in patients with mood disorder. The integrated assessment of time occupied by suicidal thoughts, activity interference, associated distress, efforts to resist suicidal thoughts, and degree of control over suicidal thinking provides a cohesive framework for understanding chronic suicidal ideation. © 2022 Elsevier Ltd;Journal of Psychiatric Research;10.1016/j.jpsychires.2022.03.021;English;1;1;0;0;0;;;;0;
144;2012;"García-Nieto, R.; Parra Uribe, I.; Palao, D.; Lopez-Castroman, J.; Sáiz, P.A.; García-Portilla, M.P.; Saiz Ruiz, J.; Ibañez, A.; Tiana, T.; Durán Sindreu, S.; Perez Sola, V.; De Diego-Otero, Y.; Pérez-Costillas, L.; Fernández García-Andrade, R.; Saiz-González, D.; Jiménez Arriero, M.A.; Navío Acosta, M.; Giner, L.; Guija, J.A.; Escobar, J.L.; Cervilla, J.A.; Quesada, M.; Braquehais, D.; Blasco-Fontecilla, H.; Legido-Gil, T.; Aroca, F.; Baca-García, E.";Brief Suicide Questionnaire. Inter-rater reliability [Protocolo breve de evaluación del suicidio: Fiabilidad interexaminadores];"Introduction: Inter-rater agreement is a crucial aspect in the planning and performance of a clinical trial in which the main assessment tool is the clinical interview. The main objectives of this study are to study the inter-rater agreement of a tool for the assessment of suicidal behavior (Brief Suicide Questionnaire) and to examine whether the inter-examiner agreement when multiple ratings are made on a single subject is an efficient method to assess the reliability of an instrument. Method: In the context of designing a multicenter clinical trial, 32 psychiatrists assessed a videotaped clinical interview of a patient with suicidal behavior. In order to identify those items in which a greater level of discordance existed and detect the examiners whose ratings differed significantly from the average ratings, we used the DOMENIC method (Detecion of Multiple Examiners Not in Consensus). Results: Inter-rater agreement was between poor (<70%) to excelent (90-100%. Inter-rater agreement in Brugha's list of threatening experiences ranged from 75.5 and 100%; in the Global Assessment of Functioning (GAF) Scale was 82.58%; in the Beck's Suicidal Intent Scale, ranged from 67.5 and 97%; in the Beck's Scale for Suicide Ideation, ranged from 63.5 and 100%; and in the Lethality Rating Scale was 88.39%. On the whole, the level of agreement among raters, both in general scores and in particular items, was appropriate. Conclusion: The proposed design allows the assessment of the inter-rater agreement in an efficient way (only in one session). In addition, regarding the Brief Suicide Questionnaire, inter-raters agreement was appropriate. © 2011 SEP y SEPB.";Revista de Psiquiatria y Salud Mental;10.1016/j.rpsm.2011.10.001;Spanish;3;1;0;0;1;1;0;0;0;in the manuscript/SM
113;2016;"George, S.E.; Page, A.C.; Hooke, G.R.; Stritzke, W.G.K.";Multifacet assessment of capability for suicide: Development and prospective validation of the acquired capability with rehearsal for suicide scale;The interpersonal theory of suicide proposes that acquired capability facilitates transformation of suicidal desire into lethal self-destructive behavior (Joiner, 2005). A new measure, the Acquired Capability With Rehearsal for Suicide Scale (ACWRSS), was devised to capture the key facets of acquired capability-pain tolerance and fearlessness of death-while also incorporating deliberate and active means to increase preparedness for suicide. The factor structure of the ACWRSS was tested using confirmatory factor analysis (n = 611). The 7-item ACWRSS conformed to the hypothesized 3-factor structure, demonstrating excellent fit and good internal consistency (a =. 83). Measurement invariance across gender was also demonstrated on configural, metric, and scalar levels. Next, in the first longitudinal study of the association between acquired capability and suicide ideation, intention, and readiness (n = 234), the acquired capability facets prospectively predicted specific phases in the motivational-volitional pathway toward suicide readiness. Moreover, 2 of the acquired capability components mediated the relationship between baseline nonsuicidal self-injury and suicide readiness at follow-up. In an inpatient psychiatric sample (n = 108), the ACWRSS was significantly correlated with prior suicide attempts and thoughts and episodes of nonsuicidal self-injury, and its facets demonstrated differential sensitivity to change. The ACWRSS is the first measure of acquired capability that reliably and validly captures all key facets of this critical component of the interpersonal theory of suicide. Its brevity enhances its utility for both research and clinical settings. © 2016 American Psychological Association.;Psychological Assessment;10.1037/pas0000276;English;6;1;1;0;1;1;0;0;0;in the manuscript/SM
128;2015;"Gipson, P.Y.; Agarwala, P.; Opperman, K.J.; Horwitz, A.; King, C.A.";Columbia-suicide severity rating scale: Predictive validity with adolescent psychiatric emergency patients;"OBJECTIVE: Despite the high prevalence of psychiatric emergency (PE) visits for attempted suicide and nonsuicidal self-injury (NSSI) among adolescents, we have limited information about assessment tools that are helpful in predicting subsequent risk for suicide attempts among adolescents in PE settings. This study examined the predictive validity of a highly promising instrument, the Columbia-Suicide Severity Rating Scale (C-SSRS). METHOD: Participants were 178 adolescents (44.4% male; ages 13-17 years) seeking PE services. The C-SSRS interview and selected medical chart data were collected for the index visit and subsequent visits during a 1-year follow-up. RESULTS: A suicide risk concern was the most common chief complaint (50.6%) in this sample, and nearly one third of the adolescents (30.4%) reported a lifetime history of suicide attempt at index visit. Sixty-two adolescents (34.8%) had at least one return PE visit during follow-up. Lifetime history of NSSI predicted both return PE visits and a suicide attempt at return visit. The C-SSRS intensity scale score was a significant predictor of a suicide attempt at return visit for both the full sample of adolescents and the subsample who reported suicidal ideation at their index visit. In this subsample, one specific item on the intensity scale, duration, was also a significant predictor of both a return PE visit and a suicide attempt at return visit. CONCLUSIONS: The C-SSRS intensity scale and NSSI had predictive validity for suicide attempts at return visit. Results also suggest that duration of adolescents' suicidal thoughts may be particularly important to risk for suicidal behavior, warranting further study. Copyright © 2015 Wolters Kluwer Health, Inc. All rights reserved.";Pediatric Emergency Care;10.1097/PEC.0000000000000225;English;1;1;0;0;0;;;;0;
111;2016;"Hammoudeh, S.; Ghuloum, S.; Mahfoud, Z.; Opler, M.; Khan, A.; Yehya, A.; Abdulhakam, A.; Al-Mujalli, A.; Hani, Y.; Elsherbiny, R.; Al-Amin, H.";Reliability, validity and factorial structure of the Arabic version of the international suicide prevention trial (InterSePT) scale for suicidal thinking in schizophrenia patients in Doha, Qatar;"Background: Patients with schizophrenia are known to have higher rates of mortality and morbidity when compared to the general population. Suicidality is a major contributor to increased mortality. The International Suicide Prevention Trial (InterSePT) Scale for Suicidal Thinking (ISST) is a validated tool to assess current suicidal ideation in patients with schizophrenia. The aims of the study were to culturally adapt the Arabic translation of ISST and to examine the psychometric characteristics of the Arabic version of the ISST among patients with schizophrenia in Qatar. Methods: ISST was translated and adapted into formal Arabic using the back translation method. Patients diagnosed with schizophrenia were randomly recruited from the department of Psychiatry, Rumailah Hospital, Doha, Qatar. Healthy controls were randomly recruited from two primary health care centers in Doha, Qatar. The Arabic version of Module B for suicidality in Mini International Neuropsychiatric Interview was used as the gold standard to which the Arabic ISST was compared. Results: The study sample (n=199) was composed of 100 patients diagnosed with schizophrenia (age 35.30±10.04years; M/F is 2/1) and 99 controls (age 33.98±8.33years; M/F is 2/3). The mean score on the ISST was 3.03±4.75 vs. 0.47±1.44 for the schizophrenia and control groups, respectively. Inter-rater reliability coefficient was 0.95, p>0.001. The overall Cronbach's alpha was 0.92. Principal Component Analysis produced 3 factors explaining a total of 73.8% of variance. Conclusions: This is the first study in the Arab countries to validate the Arabic version of the ISST. The psychometric properties indicate that the Arabic ISST is a valid tool to assess the severity of suicidal ideation in Arabic patients with schizophrenia. © 2016 The Author(s).";BMC Psychiatry;10.1186/s12888-016-1155-4;English;4;2;;0;0;;;;0;
9;2021;"Harris, K.; Haddock, G.; Peters, S.; Gooding, P.";Psychometric properties of the Suicidal Ideation Attributes Scale (SIDAS) in a longitudinal sample of people experiencing non-affective psychosis;Background: Suicidal ideation is a key precursor for suicide attempts and suicide deaths. Performing routine screening of suicide precursors can help identify people who are at high risk of death by suicide. This is, arguably, an important suicide prevention effort. The aim of this study was to assess the validity, reliability, and factor structure of the Suicidal Ideation Attributes Scale (SIDAS) in a three-month longitudinal study with people with a diagnosis of schizophrenia or non-affective psychosis and experiences of suicidal ideation and/or behaviours. It was predicted that the SIDAS would have high internal consistency, test-retest reliability, convergent, discriminant and construct validity. Methods: Ninety-nine participants experiencing psychosis completed the SIDAS at baseline and 89 participants completed it 3 months later. Additionally, participants completed a demographic questionnaire, the Beck Scale for Suicide Ideation, the Beck Hopelessness Scale, and the Defeat and Entrapment Scales. The internal consistency, test-retest reliability, convergent validity, and discriminant validity of the SIDAS were investigated in comparison to other constructs. Factor analysis was performed to examine the factor structure of the scale. Results: Principal component analysis yielded a theoretically coherent one-dimensional factor structure of SIDAS, suggesting good construct validity (PCA =.71). The SIDAS had high internal consistency (? =.89) and good test-retest reliability (? =.73). It was highly correlated with other self-report measures, including the Beck Scale for Suicide Ideation, Beck Hopelessness Scale, Defeat and Entrapment scales, indicating excellent construct validity. Conclusion: The SIDAS is a valid and reliable self-report instrument for assessing the severity of suicidal ideation in a population of people with a diagnosis of schizophrenia or non-affective psychosis. Further research should test the psychometric properties of the scale in individuals experiencing different mental health problems in cross-cultural settings, in order to establish its broader validity, reliability, and clinical utility. © 2021, The Author(s).;BMC Psychiatry;10.1186/s12888-021-03639-8;English;3;2;;0;0;;;;0;
57;2022;"Ibrahim, N.; Che Din, N.; Amit, N.; Ghazali, S.E.; Mohd Safien, A.; Siau, C.S.";Psychometric Properties and the Cut-Off Point of the English Version of the Yatt Suicide Attitude Scale;Background: The Malay version of the Yatt Suicide Attitude Scale (YSAS) was found to be reliable and valid for use in the Malaysian context. This study aims to validate and determine the cut-off points of the English version of the YSAS for a wider application by English-speaking researchers and practitioners. Methods: The English version of the YSAS, the Suicidal Behaviors Questionnaire-Revised (SBQ-R), and Kessler’s K10 Psychological Distress Scale were distributed to 527 university students. Factor analysis was employed in the evaluation of its construct validity. The determination of the convergent and concurrent validity was determined by way of a bivariate correlation with the SBQ-R and Kessler’s K10 scales. Cronbach’s alpha and Receiver Operating Characteristic-analysis were also used to measure the internal consistency reliability as well as evaluate the screening properties of the scale. Results: The English YSAS and its ideation and attempt subdomains exhibited a high internal consistency value (>.8). The scale also had a cumulative variance of 76.39% and acceptable convergent and concurrent validity when compared to the SBQ-R and K10. The instrument demonstrated a better specificity in terms of the total score and suicide attempt and a better sensitivity trait on the suicidal ideation score. Conclusion: The English YSAS is a valid and reliable scale to assess suicidality, suicidal ideation, and suicide attempt among Malaysian university students. © The Author(s) 2022.;Inquiry (United States);10.1177/00469580221096276;English;4;2;;0;0;;;;0;
44;2019;"Ibrahim, N.; Din, N.C.; Amit, N.; Ghazali, S.E.; Safien, A.M.";Development and validation of Yatt Suicide Attitude Scale (YSAS) in Malaysia;Introduction Despite suicide rate becoming a growing trend in research locally and globally, there is no standard measuring instrument developed in Malaysia. The aim of this study is to establish the first ever Malay version of suicide screening tool that is suitable and fit with multiracial and complex culture of Malaysia. Methods This study comprises of three phases, namely (1) items selection phase, (2) pilot study phase, and (3) scale validation phase. During the first phase, the items were selected from items pools which gathered from previous suicide ideation/ attitude scales. Then the pilot study was carried out to examine the items for Yatt Suicide Attitude Scale (YSAS). Lastly, the Yatt Suicide Attitude Scale (YSAS) validation study was conducted with 219 university students. Results Initial version of YSAS comprised 16 items and three components. After factor analysis, the questionnaire was reduced into only two components (Suicide Ideation and Suicide Attempt) with 5 items each. Both of the components obtained high reliability value (.89 and.86 respectively) and the questionnaire accounted for 67.84% of the total variance. Conclusion The analysis showed that YSAS has an acceptable reliability and validity for Malaysian population. Although these findings corroborate literature on development of suicide ideation assessment instrument for specific cultural context, there is a need to further examine its reliability with clinical population and general population of different cultural context in Malaysia. © 2019 Ibrahim et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.;PLoS ONE;10.1371/journal.pone.0209971;English;4;2;;0;1;1;0;0;0;in the manuscript/SM
2;2019;"Kilincaslan, A.; Gunes, A.; Eskin, M.; Madan, A.";Linguistic adaptation and psychometric properties of the Columbia-Suicide Severity Rating Scale among a heterogeneous sample of adolescents in Turkey;Objective: The Columbia-Suicide Severity Rating Scale is a semistructured, interview-based assessment tool, which is increasingly being used for clinical and research purposes across the globe, despite its limited psychometric evaluation outside of English-speaking populations. The aim of this study was to linguistically adapt the measure and investigate reliability, validity, and factor structure of the Turkish version of the Columbia-Suicide Severity Rating Scale in a heterogeneous sample of psychiatric and nonpsychiatric outpatient adolescents. Method: The study included four clinical groups: two psychiatric, nonsuicidal outpatient groups (depression group (N = 50) and nondepression group (N = 50)), suicidal group (N = 43), and nonpsychiatric general practitioners’ group (N = 70). All participants were interviewed with the Columbia-Suicide Severity Rating Scale and suicidality module of the Mini International Neuropsychiatric Interview for children and adolescents. They also completed the Suicide Probability Scale, Child Depression Inventory, Beck Hopelessness Scale, and their parents filled in the Child Behavior Checklist. Results: The scale was found to be a solidly reliable measure with good internal consistency and agreement among interviewers. It correlated in the expected direction with self- and parent-report measures of associated constructs (e.g., depression) as well as suicidality. Consistent with the developers’ intent of theoretical subscales, a three-factor solution (i.e., the severity of suicidal ideation, the intensity of suicidal ideation, and suicidal behavior) fit the data well, and it fit the data significantly better than the alternative models. Last, the Turkish Columbia-Suicide Severity Rating Scale successfully discriminated the adolescents with a recent history of suicide attempts from other clinical groups. Conclusion: The Turkish version of the Columbia-Suicide Severity Rating Scale is a reliable and valid instrument to assess suicide risk among adolescents. © The Author(s) 2018.;International Journal of Psychiatry in Medicine;10.1177/0091217418791454;English;4;1;0;0;0;;;;0;
51;2017;"Kliem, S.; Lohmann, A.; Mößle, T.; Brähler, E.";German Beck Scale for Suicide Ideation (BSS): Psychometric properties from a representative population survey;"Background: Suicidal ideation has been identified as one of the major predictors of attempted or actual suicide. Routinely screening individuals for endorsing suicidal thoughts could save lives and protect many from severe psychological consequences following the suicide of loved ones. The aim of this study was to validate the German version of the Beck Scale for Suicide Ideation (BSS) in a sample representative for the Federal Republic of Germany. Methods: All 2450 participants completed the first part of the Scale, the BSS-Screen. A risk group of n = 112 individuals (4.6%) with active or passive suicidal ideation was identified and subsequently completed the entire BSS. Results: Satisfactory internal reliability (? = .97 for the BSS-Screen; ? = .94 for the entire BSS) and excellent model fit indices for the one-dimensional factorial structure of the BSS-Screen (CFI = .998; TLI = .995; RMSEA = .045 [95%-CI:.030-.061]) were confirmed. Measurement invariance analyses supported strict invariance across gender, age, and depression status. We found correlations with related self-report measures in expected directions comparable to previous studies, indicating satisfactory construct validity. Limitations: Our study involved cross sectional data, hence neither predictive validity nor retest-reliability were examined. As only the risk group of n = 112 individuals completed the entire measure, confirmatory factor analyses could not be conducted for the full BSS. Conclusion: The German translation of the BSS is a reliable and valid instrument for assessing suicidal ideation in the general population. Using it as a screening device in general and specialized medical care could substantially advance suicide prevention. © 2017 The Author(s).";BMC Psychiatry;10.1186/s12888-017-1559-9;English;3;2;;0;0;;;;0;
